Bureau of Justice Statistics,,
Filename: htus8008f02.csv,,
Report title: Homicide Trends in United States,,
Data source: Supplementary Homicide Report,,
Authors: Erica Smith and Alexia Cooper,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,
Date of version: 11/16/11,,
,,
"Figure 2. Number of homicide victims, 1950-2010",,
Year,Number of victims,
1950,7020,
1951,6820,
1952,7210,
1953,7210,
1954,6850,
1955,6850,
1956,6970,
1957,8060,
1958,8220,
1959,8580,
1960,9110,
1961,8740,
1962,8530,
1963,8640,
1964,9360,
1965,9960,
1966,11040,
1967,12240,
1968,13800,
1969,14760,
1970,16000,
1971,17780,
1972,18670,
1973,19640,
1974,20710,
1975,20510,
1976,18780,
1977,19120,
1978,19560,
1979,21460,
1980,23040,
1981,22520,
1982,21010,
1983,19308,
1984,18692,
1985,18976,
1986,20613,
1987,20096,
1988,20675,
1989,21500,
1990,23438,
1991,24703,
1992,23760,
1993,24526,
1994,23326,
1995,21606,
1996,19645,
1997,18208,
1998,16974,
1999,15522,
2000,15586,
2001,16039,
2002,16229,
2003,16582,
2004,16137,
2005,16692,
2006,17030,
2007,16929,
2008,16272,
2009,15399,
2010,14748,
"Note: Data are based on annual estimates of homicide from previously published versions of Crime in the United States. Data for 1989 to 2008 reflect updated homicide estimates from Crime in the United States, 2008. Data for 2009 and 2010 reflect updated homicide estimates from Crime in the United States, 2010.",,
"Source: FBI, Uniform Crime Reports, 1950-2008.",,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Homicide victimization, 1950-2008",,
Year,"Homicide rate per 100,000 population",Estimated Number of Homicides
1950,4.6,7020
1951,4.4,6820
1952,4.6,7210
1953,4.5,7210
1954,4.2,6850
1955,4.1,6850
1956,4.1,6970
1957,4,8060
1958,4.8,8220
1959,4.9,8580
1960,5.1,9110
1961,4.8,8740
1962,4.6,8530
1963,4.6,8640
1964,4.9,9360
1965,5.1,9960
1966,5.6,11040
1967,6.2,12240
1968,6.9,13800
1969,7.3,14760
1970,7.9,16000
1971,8.6,17780
1972,9,18670
1973,9.4,19640
1974,9.8,20710
1975,9.6,20510
1976,8.8,18780
1977,8.8,19120
1978,9,19560
1979,9.7,21460
1980,10.2,23040
1981,9.8,22520
1982,9.1,21010
1983,8.3,19308
1984,7.9,18692
1985,7.9,18976
1986,8.6,20613
1987,8.3,20096
1988,8.4,20675
1989,8.7,21500
1990,9.4,23438
1991,9.8,24703
1992,9.3,23760
1993,9.5,24526
1994,9,23326
1995,8.2,21606
1996,7.4,19645
1997,6.8,18208
1998,6.3,16974
1999,5.7,15522
2000,5.5,15586
2001,5.6,16039
2002,5.6,16229
2003,5.7,16582
2004,5.5,16137
2005,5.6,16692
2006,5.7,17030
2007,5.6,16929
2008,5.4,16272
"Note: Data are based on annual estimates of homicide from previously published versions of Crime in the United States. Data for 1989 to 2008 reflect updated homicide estimates from Crime in the United States, 2008. Data for 2009 and 2010 reflect updated homicide estimates from Crime in the United States, 2010.",,
"Source: FBI, Uniform Crime Reports, 1950-2008.",,
