Bureau of Justice Statistics,,,,,,
Filename: htus8008f03.csv,,,,,,
Report title: Homicide Trends in United States,,,,,,
Data source: Supplementary Homicide Report,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,
Date of version: 11/16/11,,,,,,
,,,,,,
"Figure 3. Homicide victimization rates by age, 1980-2008",,,,,,
,,,,,,
 ,"Rate per 100,000 Population ",,,,,
Year,Under 14,14-17,18-24,25-34,35-49,50 or older
1980,1.8,6,17.4,18.6,13.5,6.8
1981,1.9,5.2,16.1,17.8,13.2,6.8
1982,2,5,14.9,16,12,6.3
1983,1.8,4.7,13.7,14.8,10.7,5.5
1984,1.8,4.4,13.3,14.1,10.3,5.2
1985,1.8,4.9,13.4,14.2,10.2,5.1
1986,2,5.2,15.7,15.6,10.3,5.1
1987,1.8,5.9,15.8,15,9.6,5
1988,2.1,6.8,16.5,15.6,9.4,4.8
1989,2.1,8.5,18,15.8,9.3,4.6
1990,2,9.9,21.4,17,10,4.5
1991,2.1,11.2,24.3,16.9,10.1,4.6
1992,2,11.3,23.5,16.2,9.6,4.2
1993,2.2,12,24.8,16.4,9.4,4.2
1994,2.1,10.9,24.2,15.6,8.8,3.9
1995,1.9,10.8,21.8,13.9,8.1,3.8
1996,1.9,8.9,19.6,12.3,7.6,3.4
1997,1.7,7.2,18.9,11.4,6.9,3.2
1998,1.8,6.2,17,10.7,6.5,2.8
1999,1.6,5.8,14.9,9.8,5.9,2.6
2000,1.5,4.9,14.8,10.3,5.9,2.6
2001,1.6,4.8,15.2,10.6,5.8,2.6
2002,1.5,4.6,15.2,10.8,5.9,2.6
2003,1.5,4.4,15.7,11,5.9,2.6
2004,1.4,4.7,14.3,10.8,5.8,2.7
2005,1.5,4.9,15.1,11.3,5.9,2.6
2006,1.5,5.6,15.6,11,5.9,2.7
2007,1.5,5.5,15,11.1,5.9,2.5
2008,1.5,5.1,13.4,10.7,5.7,2.6
