Bureau of Justice Statistics,,,,,,
Filename: htus8008f04.csv,,,,,,
Report title: Homicide Trends in United States,,,,,,
Data source: Supplementary Homicide Report,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,
Date of version: 11/16/11,,,,,,
,,,,,,
"Figure 4. Homicide offending rates by age, 1980-2008",,,,,,
"Rate per 100,000 population",,,,,,
Year,Under 14,14-17,18-24,25-34,35-49,50 or older
1980,0.2,13,29.4,22.3,12.8,3.5
1981,0.2,12.5,26.2,20.1,12.3,3.5
1982,0.2,11.5,24.6,19.1,10.8,3.1
1983,0.2,10.6,22.6,17.4,9.8,2.7
1984,0.2,9.3,21.9,16.9,9.1,2.8
1985,0.2,10.4,22.1,16,9.1,2.8
1986,0.2,12.5,24.5,17.5,9.4,2.7
1987,0.2,12.9,25.2,16.2,8.8,2.7
1988,0.2,17.3,27.6,16.3,8.6,2.6
1989,0.3,19.5,30.9,16.4,8,2.3
1990,0.2,25.7,36.1,17.4,8.2,2.3
1991,0.3,28.1,42.6,17.8,7.5,2.1
1992,0.3,27.9,39.3,16.2,7.1,2.1
1993,0.3,30.7,43.1,15.6,6.8,2.1
1994,0.4,30,41,14.8,6.6,1.8
1995,0.3,24.4,37.8,13.7,6.2,1.8
1996,0.2,20.3,36.6,12.6,5.6,1.7
1997,0.2,17,33,12.1,5.2,1.6
1998,0.2,13.5,30.3,11.7,5.2,1.5
1999,0.2,10.9,27,10.6,4.6,1.5
2000,0.1,9.5,27.2,11.3,4.8,1.4
2001,0.1,9.4,27.6,11.7,4.8,1.3
2002,0.1,9,26.3,12.3,4.9,1.3
2003,0.1,8.9,26.2,12.2,5.1,1.4
2004,0.1,9.2,25,12,5.1,1.4
2005,0.1,9.6,26.6,12.9,5.1,1.4
2006,0.1,11.2,27.5,13.1,4.9,1.4
2007,0.1,11.3,26.1,13,5,1.5
2008,0.1,9.7,24.6,12.4,5,1.5
