Bureau of Justice Statistics,,
Filename: htus8008f05.csv,,
Report title: Homicide Trends in United States,,
Data source: Supplementary Homicide Report,,
Authors: Erica Smith and Alexia Cooper,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,
Date of version: 11/16/11,,
,,
"Figure 5. Average age of homicide victims and offenders, 1980-2008",,
 ,Mean age,
Year,Victims,Offenders
1980,34.1,29.6
1981,34.4,30
1982,34.4,29.9
1983,34.3,29.9
1984,34.3,30.3
1985,34.1,30.2
1986,33.5,29.8
1987,33.6,29.8
1988,33,29.1
1989,32.5,28.3
1990,32.1,27.7
1991,31.6,26.9
1992,31.7,27
1993,31.4,26.6
1994,31.3,26.4
1995,31.6,27
1996,31.6,27
1997,31.9,27.3
1998,31.7,27.7
1999,32,28.1
2000,32.2,28.2
2001,32,28
2002,32.2,28.4
2003,32.3,28.5
2004,32.6,28.7
2005,32.3,28.5
2006,32.2,28.1
2007,32.1,28.4
2008,32.7,28.8
