Bureau of Justice Statistics,,
Filename: htus8008f06.csv,,
Report title: Homicide Trends in United States,,
Data source: Supplementary Homicide Report,,
Authors: Erica Smith and Alexia Cooper,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,
Date of version: 11/16/11,,
,,
"Figure 6. Percent of homicides in which offender was known to victim by age of victim, 1980-2008",,
,,
 ,, 
Age of Victim,Percent,
0,86.1,
1,86.1,
2,86.5,
3,81.9,
4,80.2,
5,78.1,
6,73.2,
7,73.5,
8,71.5,
9,67,
10,65.9,
11,64.4,
12,63.1,
13,56.9,
14,53,
15,47.1,
16,44.9,
17,43.6,
18,42.9,
19,42.4,
20,41.3,
21,42.8,
22,43.1,
23,44.4,
24,44.5,
25,42.9,
26,45.7,
27,45.7,
28,47.1,
29,47.7,
30,45.9,
31,49.2,
32,49.5,
33,49.9,
34,51.1,
35,48.7,
36,50.8,
37,53,
38,52.1,
39,53.1,
40,49.8,
41,52,
42,52.4,
43,52.8,
44,53.5,
45,52,
46,52.3,
47,52.9,
48,53.3,
49,54,
50,51.3,
51,51,
52,51.7,
53,50.9,
54,53.6,
55,52,
56,51.2,
57,52.8,
58,53.7,
59,52,
60,49.3,
61,51.5,
62,49.5,
63,52.1,
64,51.1,
65,52.3,
66,52.8,
67,51.7,
68,51.9,
69,52.6,
70,49.5,
71,50.9,
72,49.7,
73,53.4,
74,53.7,
75,52.9,
76,50.2,
77,52.7,
78,50.2,
79,48.6,
80,51,
81,44.5,
82,51.2,
83,48.6,
84,47.5,
85,48,
86,48.4,
87,44.7,
88,41.8,
89,43.6,
90,44.4,
91,47.2,
92,39.6,
93,43,
94,36.4,
95,59.3,
96 or older,40.9,
