Bureau of Justice Statistics,,,
Filename: htus8008f07.csv,,,
Report title: Homicide Trends in United States,,,
Data source: Supplementary Homicide Report,,,
Authors: Erica Smith and Alexia Cooper,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 11/16/2011,,,
,,,
"Figure 7. Number of homicides of children under age 5, by race of victim, 1980-2008",,,
Number of victims,,,
Year,White,Black,Other*
1980,319,234,11
1981,329,214,13
1982,358,250,18
1983,314,256,16
1984,330,214,13
1985,331,217,10
1986,364,311,17
1987,353,236,17
1988,361,285,10
1989,390,266,18
1990,382,276,17
1991,413,346,26
1992,374,306,16
1993,376,367,28
1994,416,331,21
1995,415,290,18
1996,431,312,25
1997,359,261,26
1998,375,264,14
1999,345,244,25
2000,334,258,12
2001,360,265,16
2002,329,241,23
2003,357,239,15
2004,347,216,14
2005,340,230,12
2006,328,229,14
2007,360,234,17
2008,379,243,26
"*Other race includes American Indians, Alaska Natives, Asians, Hawaiians, and other Pacific Islanders.",,,
