Bureau of Justice Statistics,,,
Filename: htus8008f08.csv,,,
Report title: Homicide Trends in United States,,,
Data source: Supplementary Homicide Report,,,
Authors: Erica Smith and Alexia Cooper,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 11/16/11,,,
,,,
"Figure 8. Homicide victimization rates for children under age 5 by race of victim, 1980-2008",,,
"Rate per 100,000 population",,,
Year,White,Black,Other*
1980,2.4,9.5,2.3
1981,2.4,8.4,2.4
1982,2.5,9.7,3.1
1983,2.2,9.7,2.6
1984,2.3,8.1,2
1985,2.3,8.2,1.4
1986,2.5,11.6,2.4
1987,2.4,8.7,2.3
1988,2.5,10.3,1.3
1989,2.6,9.3,2.2
1990,2.5,9.3,2
1991,2.7,11.3,2.9
1992,2.4,9.7,1.7
1993,2.4,11.3,2.9
1994,2.7,10.2,2.1
1995,2.7,9,1.8
1996,2.8,9.9,2.5
1997,2.4,8.3,2.5
1998,2.5,8.5,1.3
1999,2.3,7.9,2.4
2000,2.2,8.3,1.1
2001,2.4,8.5,1.4
2002,2.2,7.7,2
2003,2.3,7.6,1.3
2004,2.2,6.8,1.1
2005,2.2,7.2,0.9
2006,2.1,7.1,1.1
2007,2.2,7.1,1.2
2008,2.3,7.2,1.8
"*Other race includes American Indians, Alaska Natives, Asians, Hawaiians, and other Pacific Islanders.",,,
