Bureau of Justice Statistics,,,,,
Filename: htus8008f09.csv,,,,,
Report title: Homicide Trends in United States,,,,,
Data source: Supplementary Homicide Report,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,
Date of version: 11/16/11,,,,,
,,,,,
"Figure 9. Homicides of children under age 5, by age of victim, 1980-2008",,,,,
,"Rate per 100,000 population",,,,
 ,Under 1,1 year old,2 years old,3 years old,4 years old
1980,6.2,3.5,3.2,2,1.8
1981,5.7,3.6,3.3,2.1,1.6
1982,6.8,3.5,3.8,2.2,1.7
1983,6.2,3.6,3.2,1.8,1.7
1984,5.6,3.4,3.7,1.7,1.4
1985,5.6,3.7,3,2.1,1.2
1986,7.6,3.9,3.5,2.5,1.6
1987,7,3.2,3.1,2,1.4
1988,7.3,3.6,3.6,2,1.3
1989,7.5,3.8,2.8,2.1,1.8
1990,7.7,4.4,2.8,1.5,1.2
1991,8.8,4.5,3.6,1.9,1.3
1992,6.7,5,3,1.6,1.4
1993,7.3,5.4,3.5,2.2,1.2
1994,7.1,4.6,3.8,2.6,1.6
1995,7.2,4.6,3.5,1.9,1.6
1996,8.2,5.1,3.1,2.4,1.2
1997,7.4,4.2,2.5,1.7,1.1
1998,7.1,4,2.8,2.2,1.1
1999,6.8,3.3,3,2,1
2000,6.9,3.3,3.1,1.4,1
2001,6.4,4.5,2.6,1.7,1.1
2002,5.3,4,2.8,1.7,1.2
2003,6.4,3.1,2.6,1.9,1.2
2004,4.9,4.3,2.2,1.5,1.4
2005,5.2,3.8,2.5,1.5,1.2
2006,5.5,3.4,2.4,1.3,1.1
2007,5.6,3.6,2.6,1.4,1.3
2008,5.9,4,2.6,1.6,1.1
