Bureau of Justice Statistics,,,,
Filename: htus8008f10.csv,,,,
Report title: Homicide Trends in United States,,,,
Data source: Supplementary Homicide Report,,,,
Authors: Erica Smith and Alexia Cooper,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,
Date of version: 11/16/11,,,,
,,,,
"Figure 10. Homicides of children under age 5, by relationship with the offender, 1980-2008",,,,
,Percent,,,
Year,Parent,Other family,Friend/acquaintance,Stranger
1980,63.7,8.8,24.2,3.3
1981,62.9,8.8,26.5,1.8
1982,66.4,5,25.9,2.8
1983,65.9,5.9,25.7,2.5
1984,59.1,8.7,29.2,3
1985,67.1,5.3,25.7,1.9
1986,64.9,6.3,27.7,1
1987,64.4,7.2,26.1,2.4
1988,60.7,6.5,31.6,1.2
1989,64.9,7.4,25.3,2.4
1990,62.2,7.1,29,1.8
1991,62,7.2,27.7,3.1
1992,61.3,5.5,28.6,4.7
1993,58.3,5.2,33.1,3.5
1994,60.8,6.4,29.3,3.5
1995,59.4,7.6,26.4,6.6
1996,56.8,6.8,33.7,2.8
1997,63.9,7,26.5,2.6
1998,63.5,4.9,30.2,1.4
1999,63.7,8.6,25.5,2.2
2000,59.8,9.3,29.5,1.3
2001,60.5,6.4,29.1,4
2002,60,7.4,28.4,4.3
2003,64.6,8.5,24.5,2.4
2004,61.6,6.2,30.4,1.8
2005,58.2,8.3,30.4,3.1
2006,63.9,5,29,2
2007,61.2,4.9,32.3,1.6
2008,59.1,9.7,29.5,1.7
Note: Percentages are based on the 63.1% of homicides from 1980 through 2008 for which the victim/offender relationships were known. ,,,,
