Bureau of Justice Statistics,,
Filename: htus8008f12.csv,,
Report title: Homicide Trends in United States,,
Data source: Supplementary Homicide Report,,
Authors: Erica Smith and Alexia Cooper,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,
Date of version: 11/16/11,,
,,
"Figure 12. Number of homicides of persons age 65 or older, by sex of victim, 1980-2008",,
,,
,Male,Female
1980,850,495
1981,788,487
1982,754,533
1983,690,484
1984,676,456
1985,639,493
1986,712,517
1987,707,585
1988,723,547
1989,649,500
1990,617,510
1991,670,467
1992,620,484
1993,623,514
1994,568,451
1995,545,461
1996,491,384
1997,526,340
1998,435,334
1999,428,317
2000,371,328
2001,396,318
2002,402,302
2003,429,306
2004,435,308
2005,390,334
2006,346,283
2007,389,260
2008,402,260
