Bureau of Justice Statistics,,
Filename: htus8008f13.csv,,
Report title: Homicide Trends in United States,,
Data source: Supplementary Homicide Report,,
Authors: Erica Smith and Alexia Cooper,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,
Date of version: 11/16/11,,
,,
"Figure 13. Homicide victimization and offending rates for persons age 65 or older, 1980-2008",,
,"Rate per 100,000 population ",
,Victimization,Offending
1980,5.3,1.8
1981,5,1.9
1982,4.9,1.6
1983,4.4,1.3
1984,4.2,1.6
1985,4.1,1.5
1986,4.3,1.5
1987,4.4,1.6
1988,4.3,1.6
1989,3.8,1.3
1990,3.7,1.3
1991,3.6,1.2
1992,3.5,1.2
1993,3.5,1.1
1994,3.1,1
1995,3,1
1996,2.6,0.9
1997,2.6,0.9
1998,2.3,0.8
1999,2.2,0.8
2000,2,0.8
2001,2.1,0.7
2002,2,0.7
2003,2.1,0.8
2004,2.1,0.8
2005,2,0.7
2006,1.7,0.6
2007,1.7,0.6
2008,1.9,0.7
