Bureau of Justice Statistics,,
Filename: htus8008f15.csv,,
Report title: Homicide Trends in United States,,
Data source: Supplementary Homicide Report,,
Authors: Erica Smith and Alexia Cooper,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,
Date of version: 11/16/11,,
,,
"Figure 15. Homicide victimization rates, by sex, 1980-2008",,
 ,"Rate per 100,000 population",
Year,Males,Females
1980,16.1,4.5
1981,15.6,4.3
1982,14.1,4.3
1983,12.8,3.9
1984,12.2,3.9
1985,12.2,4
1986,13.3,4.2
1987,12.6,4.2
1988,13,4.2
1989,13.6,4
1990,15.1,4
1991,15.6,4.2
1992,14.8,4
1993,14.9,4.2
1994,14.2,3.7
1995,12.7,3.7
1996,11.5,3.3
1997,10.5,3
1998,9.5,3
1999,8.6,2.7
2000,8.6,2.6
2001,8.8,2.6
2002,8.8,2.6
2003,9,2.5
2004,8.7,2.4
2005,9.1,2.4
2006,9.1,2.4
2007,8.9,2.4
2008,8.5,2.3
