Bureau of Justice Statistics,,
Filename: htus8008f16.csv,,
Report title: Homicide Trends in United States,,
Data source: Supplementary Homicide Report,,
Authors: Erica Smith and Alexia Cooper,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,
Date of version: 11/16/11,,
,,
"Figure 16. Homicide offending rates, by sex, 1980-2008",,
"Rate per 100,000 population",,
Year,Male,Female
1980,20.5,3.1
1981,19,2.8
1982,17.6,2.7
1983,16,2.5
1984,15.4,2.3
1985,15.3,2.2
1986,16.6,2.3
1987,16.2,2.2
1988,17,2.2
1989,17.6,2.2
1990,19.6,2.2
1991,20.8,2.3
1992,19.3,2
1993,19.9,2.1
1994,18.8,2
1995,17.1,1.7
1996,15.4,1.8
1997,14,1.7
1998,12.9,1.7
1999,11.5,1.5
2000,11.6,1.5
2001,11.8,1.5
2002,11.7,1.5
2003,11.7,1.5
2004,11.4,1.5
2005,11.9,1.6
2006,12.3,1.5
2007,11.9,1.6
2008,11.3,1.6
