Bureau of Justice Statistics,,,
Filename: htus8008f17.csv,,,
Report title: Homicide Trends in United States,,,
Data source: Supplementary Homicide Report,,,
Authors: Erica Smith and Alexia Cooper,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 11/16/11,,,
,,,
"Figure 17. Homicide victimization rates, by race, 1980-2008",,,
,,,
 ,"Rate per 100,000 population",,
Year,Whites,Blacks,
1980,6.5,37.6,
1981,6.2,36.6,
1982,5.9,32.4,
1983,5.3,29.6,
1984,5.3,27.4,
1985,5.3,27.8,
1986,5.4,31.6,
1987,5.2,30.9,
1988,5,33.8,
1989,5,35.4,
1990,5.5,37.9,
1991,5.6,39.4,
1992,5.3,37.1,
1993,5.3,38.4,
1994,5,35.9,
1995,4.8,31.2,
1996,4.3,27.8,
1997,3.9,25.6,
1998,3.8,22.6,
1999,3.4,19.9,
2000,3.3,20.5,
2001,3.4,20.5,
2002,3.4,20.9,
2003,3.4,21.1,
2004,3.4,20,
2005,3.4,20.9,
2006,3.3,21.7,
2007,3.3,21.3,
2008,3.3,19.6,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"Homicide Victimization Rates per 100,000 Population by Race",,,
 ,,,
Year,Whites,Blacks,Other
1980,6.5,37.6,6.4
1981,6.2,36.6,6.1
1982,5.9,32.4,6.5
1983,5.3,29.6,6.4
1984,5.3,27.4,5.5
1985,5.3,27.8,5.5
1986,5.4,31.6,6.3
1987,5.2,30.9,5.2
1988,5,33.8,4
1989,5,35.4,4.3
1990,5.5,37.9,4.2
1991,5.6,39.4,6.1
1992,5.3,37.1,5.5
1993,5.3,38.4,5.5
1994,5,35.9,4.6
1995,4.8,31.2,4.9
1996,4.3,27.8,4.1
1997,3.9,25.6,4.1
1998,3.8,22.6,2.9
1999,3.4,19.9,3.3
2000,3.3,20.5,2.7
2001,3.4,20.5,2.8
2002,3.4,20.9,2.8
2003,3.4,21.1,2.9
2004,3.4,20,2.5
2005,3.4,20.9,2.6
2006,3.3,21.7,2.7
2007,3.3,21.3,2.3
2008,3.3,19.6,2
