Bureau of Justice Statistics,,
Filename: htus8008f18.csv,,
Report title: Homicide Trends in United States,,
Data source: Supplementary Homicide Report,,
Authors: Erica Smith and Alexia Cooper,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,
Date of version: 11/16/11,,
,,
"Figure 18. Homicide offending rates, by race, 1980-2008",,
"Rate per 100,000 population",,
Year,White,Black
1980,6.4,49.8
1981,5.9,45.8
1982,5.6,41.2
1983,5.3,36.3
1984,5.3,33.1
1985,5.1,34
1986,5.3,37.9
1987,5.2,36.6
1988,4.9,41.3
1989,5.1,42.1
1990,5.6,46.5
1991,5.6,51.1
1992,5.2,46.5
1993,5.2,48.5
1994,5.1,44.5
1995,4.8,38.4
1996,4.4,34.9
1997,4.1,31.2
1998,4.1,26.9
1999,3.5,24.5
2000,3.5,25.2
2001,3.6,25.4
2002,3.6,24.8
2003,3.5,25.2
2004,3.6,24
2005,3.5,26.6
2006,3.4,28.4
2007,3.4,27.4
2008,3.4,24.7
