Bureau of Justice Statistics,,,,
Filename: htus8008f19.csv,,,,
Report title: Homicide Trends in United States,,,,
Data source: Supplementary Homicide Report,,,,
Authors: Erica Smith and Alexia Cooper,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,
Date of version: 11/16/11,,,,
,,,,
"Figure 19. Homicides, by race of offender and victim, 1980-2008",,,,
 ,Percent,,,
Year,White on white,Black on white,White on black,Black on black
1980,47.8,6.6,2.1,41.6
1981,47.1,6.9,2.4,41.6
1982,48.5,6.5,2.4,39.9
1983,48.3,6.2,2.2,40.3
1984,49.9,6.1,2.5,38.8
1985,48.8,6.6,2.6,39.1
1986,46.2,6.4,2.5,41.7
1987,46.1,6.1,2.9,42.1
1988,42.7,6.3,2.8,45.7
1989,41.4,6.6,3.2,46.3
1990,41.6,6.5,3.3,46.3
1991,39.7,7.3,3.4,46.3
1992,39.1,8,2.8,47.1
1993,37.7,8.1,2.9,48.1
1994,37.8,7.9,3.2,47.8
1995,40.4,7.4,3.4,45.3
1996,40.2,7.7,3.4,45.1
1997,39.6,7.6,3.1,46
1998,42.6,6.9,3.4,43.9
1999,42.4,7.4,2.9,43.4
2000,41.1,7.4,3.2,45
2001,41.8,7.4,3,44.4
2002,40.8,7.2,3.5,44.9
2003,40.3,7.7,3.7,44.6
2004,41.6,7.6,3.7,43.5
2005,40.2,7.8,3.4,45.1
2006,38,8.3,3.4,46.5
2007,38.1,8.4,4.1,45.8
2008,40.4,8,3.7,44.7
