Bureau of Justice Statistics,,,,
Filename: htus8008f20a.csv,,,,
Report title: Homicide Trends in United States,,,,
Data source: Supplementary Homicide Report,,,,
Authors: Erica Smith and Alexia Cooper,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,
Date of version: 11/16/11,,,,
,,,,
"Figure 20a. Stranger homicides, by race of offender and victim, 1980-2008",,,,
,,,,
Year,White on white,Black on white,White on black,Black on black
1980,42.5,20.9,4.9,29.6
1981,41.2,20.1,4.6,31.9
1982,42.2,18.8,4.9,30.7
1983,44.2,18.6,3.9,28.7
1984,47.6,17.2,4.4,26.6
1985,42,18.9,4.8,29.5
1986,43.8,17.6,4.9,29.2
1987,42.8,17.8,6.3,29.8
1988,40.9,19.6,5.1,31.4
1989,39.8,18.3,5.4,33.4
1990,41.1,18.4,6.3,30.7
1991,34.1,17.3,5.2,38.9
1992,32.3,20.7,3.8,38.5
1993,32.8,20.3,4.2,38
1994,32.3,20.3,4.6,37.1
1995,38,16.8,5.4,34.5
1996,37.8,17.9,6.1,32.6
1997,37.3,17.6,4.5,34.6
1998,42.4,16.8,5.1,30
1999,42.3,18.8,4.8,28.6
2000,39.8,16.8,4.7,33.5
2001,41.1,15.8,5,33.7
2002,39.5,14.9,4.7,36.6
2003,37.7,17.2,4.6,34.9
2004,40.3,16.9,6.5,31.5
2005,41.1,16.7,4.2,31.3
2006,38.2,17.1,4.5,34
2007,37.3,17.7,6.2,34.9
2008,40.2,17.8,5.3,32.3
Note: Percentages are based on the 63.1% of homicides for which the victim/offender relationships were known.,,,,
