Bureau of Justice Statistics,,,,
Filename: htus8008f20b.csv,,,,
Report title: Homicide Trends in United States,,,,
Data source: Supplementary Homicide Report,,,,
Authors: Erica Smith and Alexia Cooper,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,
Date of version: 11/16/11,,,,
,,,,
"Figure 20b. Friend/acquaintance homicides, by race of offender and victim, 1980-2008",,,,
,,,,
Year,White on white,Black on white,White on black,Black on black
1980,42.9,3.8,1.8,49.8
1981,43.4,3.9,2.1,48.7
1982,44.9,3.9,2.1,46.6
1983,45.5,4.1,1.9,45.8
1984,46.9,4.2,2.3,43.9
1985,47,4.8,2.6,43
1986,44.7,4.6,2.1,45.6
1987,43.6,4.6,2.6,46.5
1988,41.8,4.7,2.4,48.6
1989,39.6,5.3,2.9,49.7
1990,39.9,4.4,2.4,51.1
1991,38.2,5.2,2.8,50.8
1992,40.2,5.8,2.5,48.5
1993,39.9,6.2,2.5,48.3
1994,39.6,5.8,2.9,48.6
1995,42.2,5.7,2.9,45.3
1996,41.6,6.2,2.7,45.9
1997,42.8,6.4,2.7,44.1
1998,44.8,5.6,3.3,43.5
1999,43.7,6.2,2.6,43.5
2000,45,6.4,2.8,42.6
2001,46.7,6.6,2.6,40.4
2002,45.9,6.5,3.2,40.4
2003,44.5,6.6,3.7,41.6
2004,46.4,6.3,3.3,40.4
2005,45.6,6.6,3.4,41.1
2006,42.7,7.6,3.4,43.1
2007,42.5,8.2,4.2,41.6
2008,44.4,7.7,3.7,41
Note: Percentages are based on the 63.1% of homicides for which the victim/offender relationships were known.,,,,
