Bureau of Justice Statistics,,,
Filename: htus8008f21a.csv,,,
Report title: Homicide Trends in United States,,,
Data source: Supplementary Homicide Report,,,
Authors: Erica Smith and Alexia Cooper,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 11/16/11,,,
,,,
"Figure 21a. White male homicide victimization rates, by age, 1980-2008",,,
,,,
,"Rate per 100,000 population ",,
 ,White males,,
 ,14-17,18-24,25 or older
1980,5.4,16.8,12
1981,4.6,15.6,12
1982,4.4,14.5,11.1
1983,4.1,13.3,10
1984,3.7,12.6,9.7
1985,4.1,12.9,9.5
1986,4.3,14.3,9.6
1987,3.9,13.1,9
1988,4.3,12.9,8.7
1989,5.9,13.9,8.7
1990,8,17.7,9.3
1991,9,19.3,9.3
1992,9.4,18.3,8.8
1993,9.4,18.4,8.5
1994,8.9,19.1,8.1
1995,8.9,18.4,7.3
1996,8.1,16.3,6.8
1997,5.9,15,6.1
1998,5.9,14.8,5.6
1999,5.3,12.7,5.3
2000,4.4,12.5,5
2001,4.1,13.3,5.1
2002,3.9,13.2,5.1
2003,3.8,13.5,5.2
2004,4.3,12.5,5.3
2005,4.7,12.9,5.2
2006,4.8,12.5,5
2007,4.6,12.4,5
2008,4.5,11.4,5
