Bureau of Justice Statistics,,,
Filename: htus8008f21c.csv,,,
Report title: Homicide Trends in United States,,,
Data source: Supplementary Homicide Report,,,
Authors: Erica Smith and Alexia Cooper,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 11/16/11,,,
,,,
"Figure 21c. White female homicide victimization rates, by age, 1980-2008",,,
,,,
,"Rate per 100,000 population ",,
 ,White females,,
 ,14-17,18-24,25 or older
1980,2.7,5.5,3.5
1981,2.6,5.1,3.5
1982,2.2,5.4,3.6
1983,2.2,4.3,3.3
1984,2.3,5.4,3.2
1985,2,4.4,3.5
1986,2.4,5.1,3.3
1987,2.4,4.9,3.5
1988,2.4,4.8,3.2
1989,2.3,4.6,3
1990,2.7,4.3,3.1
1991,2.7,4.8,3
1992,2.5,4.7,3
1993,2.8,4.6,3.1
1994,2,4.1,2.7
1995,2.8,4.5,2.9
1996,2,3.5,2.5
1997,1.8,3.7,2.2
1998,2,3.5,2.4
1999,1.7,3.5,2.1
2000,1.5,3.1,2.2
2001,1.5,3.4,2.2
2002,1.6,3.1,2.1
2003,1.1,3.3,2.1
2004,1.2,3.1,2
2005,1.2,2.7,2.1
2006,1.4,3,1.9
2007,1.3,2.9,2
2008,1.2,2.6,2
