Bureau of Justice Statistics,,,
Filename: htus8008f21d.csv,,,
Report title: Homicide Trends in United States,,,
Data source: Supplementary Homicide Report,,,
Authors: Erica Smith and Alexia Cooper,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 11/16/11,,,
,,,
"Figure 21d. Black female homicide victimization rates, by age,  1980-2008",,,
,,,
,"Rate per 100,000 population ",,
 ,Black females,,
 ,14-17,18-24,25 or older
1980,6.8,23.8,17.4
1981,6.5,21.4,16.9
1982,8.1,18.5,15.3
1983,5.6,20.3,13.8
1984,7,19.2,13.2
1985,7.8,17.5,14.1
1986,6.9,21.1,15.1
1987,7.5,20.8,15.3
1988,7.7,22.2,15.8
1989,9.5,20.8,15.6
1990,10.9,21.6,15.1
1991,9.9,24.8,15.8
1992,13.4,21.7,15.1
1993,13.1,25.7,15.2
1994,10.2,21.9,14.4
1995,12.4,17.9,12.7
1996,9.1,16.3,11.7
1997,7.5,16,10.3
1998,6.2,14.7,9.7
1999,6.1,13.2,8.2
2000,4.7,14.1,8
2001,4.1,10.6,8.1
2002,6.4,12.4,7.9
2003,4,12.4,7.3
2004,3.9,10.2,7
2005,4.1,11.9,6.6
2006,4.1,11.8,7.1
2007,4.7,11.6,6.5
2008,4.6,12.2,5.8
