Bureau of Justice Statistics,,,
Filename: htus8008f22a.csv,,,
Report title: Homicide Trends in United States,,,
Data source: Supplementary Homicide Report,,,
Authors: Erica Smith and Alexia Cooper,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 11/16/11,,,
,,,
"Figure 22a. White male homicide offending rates, by age, 1980-2008",,,
"Rate per 100,000 population ",,,
,White males, , 
,14-17,18-24,25 or older
1980,13.9,29.4,11.3
1981,11.9,26.7,10.8
1982,12.1,24,10.3
1983,11.3,23.4,9.5
1984,10,24.9,9.6
1985,10.1,23.1,9.3
1986,12.7,25.1,9.5
1987,11.8,24.4,9.3
1988,15.1,22.9,8.8
1989,17.8,26.2,8.6
1990,22.1,30.9,9.1
1991,22.8,32.8,8.8
1992,23.1,31.6,7.9
1993,22.3,33,7.7
1994,23.9,33,7.4
1995,21.4,32.1,7.1
1996,17.6,31.4,6.2
1997,15.8,28.6,5.7
1998,13.9,28.2,5.9
1999,10.3,23.5,5.3
2000,8.1,23.7,5.3
2001,8.2,25.1,5.4
2002,9.3,24.2,5.5
2003,7.8,22.5,5.5
2004,8.8,22.4,5.6
2005,8,22.3,5.4
2006,8.7,21.7,5.2
2007,8,20.4,5.3
2008,8.1,20.4,5.4
