Bureau of Justice Statistics,,,
Filename: htus8008f22d.csv,,,
Report title: Homicide Trends in United States,,,
Data source: Supplementary Homicide Report,,,
Authors: Erica Smith and Alexia Cooper,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 11/16/11,,,
,,,
,,,
,,,
"Figure 22d. Black female homicide offending rates, by age, 1980-2008",,,
"Rate per 100,000 population ",,,
,Black females,,
,14-17,18-24,25 or older
1980,7.8,31.2,18.8
1981,8.2,23.7,17.6
1982,6.1,23.9,15.1
1983,7.4,21.6,13.1
1984,6.3,18.2,12.4
1985,7.1,17.8,12
1986,5.6,20.2,12.7
1987,6.8,16.5,11.1
1988,7.5,20.5,10.3
1989,7.3,18.6,10.8
1990,6.9,19.1,10.1
1991,10.4,21.7,10.1
1992,11,17.1,8.7
1993,9,20,8
1994,9.2,17.5,7.7
1995,7.2,12.8,6.2
1996,8.3,15.5,6
1997,4.4,15.3,5.1
1998,5.2,12.6,4.9
1999,5.9,10.2,4.1
2000,5,11.1,4
2001,5,12.2,4.2
2002,3.5,10.8,3.6
2003,3.5,11.6,4
2004,2.7,9.6,3.9
2005,4,12.1,4
2006,4,11.5,4.2
2007,4,10.5,3.7
2008,3,10.8,3.5
