Bureau of Justice Statistics,,,,,,
Filename: htus8008f23b.csv,,,,,,
Report title: Homicide Trends in United States,,,,,,
Data source: Supplementary Homicide Report,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,
Date of version: 11/16/11,,,,,,
,,,,,,
"Figure 23b. Black males age 14 to 24 who were homicide victims or offenders, 1980-2008",,,,,,
,,,,,,
,"Black Males, Ages 14-24",,,,,
 ,All black males ages 14 to 24,Victims,Offenders,,,
1980,1.4,9,18.6,,,
1981,1.4,8.9,18.6,,,
1982,1.3,8.8,18.3,,,
1983,1.3,8.8,17,,,
1984,1.3,8.2,15.3,,,
1985,1.3,8.9,17.4,,,
1986,1.3,9.7,18.1,,,
1987,1.2,11.1,20.1,,,
1988,1.2,12.3,24.2,,,
1989,1.2,13.9,25.9,,,
1990,1.2,14.7,28.3,,,
1991,1.2,16.1,32,,,
1992,1.1,16.4,31.3,,,
1993,1.1,17.4,34.6,,,
1994,1.2,17.5,33.8,,,
1995,1.1,16.2,31.7,,,
1996,1.1,16.2,31,,,
1997,1.1,16.6,29.5,,,
1998,1.1,15.2,26.9,,,
1999,1.2,14.9,27.9,,,
2000,1.2,14.8,28,,,
2001,1.2,15.2,27.4,,,
2002,1.2,14.9,25.7,,,
2003,1.2,15.3,26.9,,,
2004,1.2,14.8,26.2,,,
2005,1.2,15.4,27.8,,,
2006,1.3,16.6,30,,,
2007,1.3,16.2,29.6,,,
2008,1.3,15.1,27.2,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Young males as a proportion of the population, homicide victims, and homicide offenders by race, 1980-2008",,,,,,
,,,,,,
,"Black Males, Ages 14-24",,,All Other Homicides,,
 ,Population,Victims,Offenders,Population,Victims,Offenders
1980,1.4,9,18.6,90,80.6,63.4
1981,1.4,8.9,18.6,90.2,81.4,64.1
1982,1.3,8.8,18.3,90.4,81.6,64.9
1983,1.3,8.8,17,90.6,81.7,65.6
1984,1.3,8.2,15.3,90.8,82.8,66.4
1985,1.3,8.9,17.4,91,82.2,65.7
1986,1.3,9.7,18.1,91.2,81.4,64.9
1987,1.2,11.1,20.1,91.5,80.6,63.6
1988,1.2,12.3,24.2,91.7,79.9,60.5
1989,1.2,13.9,25.9,92,77.8,57.4
1990,1.2,14.7,28.3,92.1,75.6,54.1
1991,1.2,16.1,32,92.3,73.9,50.8
1992,1.1,16.4,31.3,92.4,73.6,50.9
1993,1.1,17.4,34.6,92.5,73,48
1994,1.2,17.5,33.8,92.6,72.3,47.7
1995,1.1,16.2,31.7,92.6,73.1,49.1
1996,1.1,16.2,31,92.7,73.4,49.6
1997,1.1,16.6,29.5,92.7,73.5,51.2
1998,1.1,15.2,26.9,92.7,74.1,53
1999,1.2,14.9,27.9,92.6,74.8,53.5
2000,1.2,14.8,28,92.6,75.2,54.2
2001,1.2,15.2,27.4,92.5,74.5,53.9
2002,1.2,14.9,25.7,92.5,74.9,55.6
2003,1.2,15.3,26.9,92.5,74.4,55.9
2004,1.2,14.8,26.2,92.4,75,56
2005,1.2,15.4,27.8,92.4,74.2,55.6
2006,1.3,16.6,30,92.5,73.4,54
2007,1.3,16.2,29.6,92.5,73.9,55.2
2008,1.3,15.1,27.2,92.6,75.3,56.8
,,,,,,
"Source: FBI, Supplementary Homicide Reports, 1980-2008",,,,,,
See the methodology section in 'Additional Information About the Data' for weighting and imputation procedures used.,,,,,,
