Bureau of Justice Statistics,,,
Filename: htus8008f25b.csv,,,
Report title: Homicide Trends in United States,,,
Data source: Supplementary Homicide Report,,,
Authors: Erica Smith and Alexia Cooper,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 11/16/11,,,
,,,
"Figure 25b. Homicides, by other family and weapon use, 1980-2008",,,
,,,
,,,
,Nonintimate family,,
,Gun,Nongun,Unknown weapon
1980,54.7,42.1,3.2
1981,56.6,39.9,3.4
1982,52.3,44.6,3.1
1983,51.2,45.4,3.4
1984,52.5,45.1,2.5
1985,51.8,43.8,4.4
1986,48.3,47.4,4.3
1987,50.1,46.1,3.8
1988,48.2,47.2,4.6
1989,47.4,47.8,4.9
1990,46.4,49,4.5
1991,44.5,49.8,5.7
1992,46.4,49.3,4.4
1993,47.3,46.1,6.7
1994,44.4,49.2,6.4
1995,42.9,51.9,5.3
1996,40.1,53.3,6.6
1997,42.3,51.5,6.2
1998,40.7,50.8,8.6
1999,40.9,51.1,8
2000,41.8,51.6,6.6
2001,35.5,53.2,11.3
2002,40.6,51.3,8.1
2003,38.5,52.4,9.1
2004,39.1,53.4,7.5
2005,37.2,52.2,10.6
2006,36.4,53.6,9.9
2007,37.9,51.3,10.8
2008,38.8,49.5,11.7
Note: Percentages are based on the 63.1% of homicides from 1980 through 2008 for which the victim/offender relationships were known.,,,
