Bureau of Justice Statistics,,,
Filename: htus8008f25c.csv,,,
Report title: Homicide Trends in United States,,,
Data source: Supplementary Homicide Report,,,
Authors: Erica Smith and Alexia Cooper,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 11/16/11,,,
,,,
"Figure 25c. Homicides, by friend/acquaintance and weapon use, 1980-2008",,,
,,,
,Friend/,,
,acquaintance,,
,Gun,Nongun,Unknown weapon
1980,64.5,34,1.5
1981,64.6,34,1.4
1982,62.8,36.1,1.1
1983,60.5,38.3,1.3
1984,60.4,38.1,1.5
1985,60.1,38.4,1.6
1986,61,37.7,1.2
1987,61,37.3,1.7
1988,61.7,36.9,1.4
1989,62.9,35.5,1.6
1990,63.4,34.9,1.7
1991,64.9,33.2,1.9
1992,68.9,29.3,1.8
1993,69.5,28.2,2.3
1994,70.5,27.5,1.9
1995,69.3,28.8,1.8
1996,66.8,30.7,2.5
1997,67.3,30.4,2.2
1998,63.9,32.6,3.5
1999,63.7,33.3,3
2000,62.6,34.2,3.2
2001,61.1,34.5,4.4
2002,63.6,32.3,4
2003,62.6,33.4,4
2004,61.4,34.6,4
2005,62.1,33.9,4
2006,64.2,30.6,5.1
2007,60.1,34.8,5.1
2008,60.6,34,5.4
Note: Percentages are based on the 63.1% of homicides from 1980 through 2008 for which the victim/offender relationships were known.,,,
