Bureau of Justice Statistics,,,
Filename: htus8008f25d.csv,,,
Report title: Homicide Trends in United States,,,
Data source: Supplementary Homicide Report,,,
Authors: Erica Smith and Alexia Cooper,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 11/16/11,,,
,,,
"Figure 25d. Homicides, by stranger and weapon use, 1980-2008",,,
,,,
,,,
,Stranger,,
,Gun,Nongun,Unknown weapon
1980,65.9,31.4,2.6
1981,64.7,33.5,1.8
1982,62.8,34.7,2.5
1983,58.8,39.1,2.1
1984,58.9,38.7,2.4
1985,61.2,35.8,2.9
1986,61.6,36.3,2.1
1987,61.5,35.8,2.7
1988,62.7,34.6,2.7
1989,67.8,29.4,2.8
1990,66.9,30.3,2.8
1991,73.5,23.8,2.7
1992,75,22.6,2.4
1993,76.7,20.2,3
1994,79.9,17.8,2.3
1995,72.9,25.1,2
1996,76.2,21.3,2.5
1997,77.8,19.4,2.8
1998,73,22.5,4.4
1999,71.6,23.8,4.6
2000,70.6,25,4.4
2001,68.8,25.4,5.8
2002,72.3,23,4.7
2003,70.6,24.8,4.7
2004,70.9,25,4
2005,73.9,20.3,5.8
2006,73.9,21,5.1
2007,72.9,21.8,5.3
2008,70,23.1,6.9
Note: Percentages are based on the 63.1% of homicides from 1980 through 2008 for which the victim/offender relationships were known.,,,
