Bureau of Justice Statistics,,,
Filename: htus8008f25e.csv,,,
Report title: Homicide Trends in United States,,,
Data source: Supplementary Homicide Report,,,
Authors: Erica Smith and Alexia Cooper,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 11/16/11,,,
,,,
"Figure 25e. Homicides, by unknown offender and weapon use, 1980-2008",,,
,,,
,,,
,Unknown relationship,,
,Gun,Nongun,Unknown weapon
1980,58.9,35.2,5.9
1981,58.7,34.7,6.6
1982,55.4,37.8,6.7
1983,55.5,38.2,6.3
1984,56.7,35.4,7.9
1985,54.9,37.3,7.8
1986,56.7,35.7,7.6
1987,56.6,35.3,8.1
1988,61.7,32.1,6.2
1989,64,29.6,6.5
1990,68.6,25.4,5.9
1991,70.3,23.6,6.1
1992,70.7,21.2,8
1993,72.4,19.5,8.2
1994,72.3,19.2,8.4
1995,71.5,20,8.5
1996,71.6,21.6,6.8
1997,71.3,20.8,7.9
1998,69.7,21.4,8.9
1999,71.4,21.7,6.9
2000,72.4,18.8,8.7
2001,69.6,17.8,12.6
2002,74.3,17.9,7.9
2003,75.8,17.6,6.6
2004,75.3,17.1,7.6
2005,76.8,15.6,7.5
2006,75.9,14.2,9.9
2007,78.4,14.2,7.4
2008,78.2,14.3,7.5
Note: Percentages are based on the 63.1% of homicides from 1980 through 2008 for which the victim/offender relationships were known.,,,
