Bureau of Justice Statistics,,
Filename: htus8008f26.csv,,
Report title: Homicide Trends in United States,,
Data source: Supplementary Homicide Report,,
Authors: Erica Smith and Alexia Cooper,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,
Date of version: 11/16/11,,
,,
"Figure 26. Homicides of intimates, by sex of victim, 1980-2008",,
 ,Percent of victims,
Year,Male,Female
1980,10.4,43.1
1981,10.1,41.9
1982,9.6,39.9
1983,10.3,41.6
1984,9.3,39
1985,9.1,41.8
1986,8.8,42.2
1987,8.6,38.8
1988,8.1,41
1989,8,38.9
1990,7.1,40.1
1991,6.4,39.5
1992,6.1,40
1993,5.8,39.6
1994,6.2,40.1
1995,5.4,38
1996,5.2,40.5
1997,5.1,41.2
1998,6.1,43.9
1999,5.8,43.3
2000,6.1,44.9
2001,5.5,43.6
2002,5.2,42.9
2003,5,43.8
2004,5.4,44
2005,5,44.9
2006,4.7,44.1
2007,5.3,45
2008,4.9,45.3
,,
Note: Percentages are based on the 63.1% of homicides between 1980 and 2008 for which the victim/offender relationships were known.,,
"Intimate includes spouses, ex-spouses, boyfriends, girlfriends, and same-sex relationships. Friend/acquaintance includes neighbor, employee, employer, and other known persons.",,
