Bureau of Justice Statistics,,,,,,,,
Filename: htus8008f27.csv,,,,,,,,
Report title: Homicide Trends in United States,,,,,,,,
Data source: Supplementary Homicide Report,,,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 11/16/11,,,,,,,,
,,,,,,,,
"Figure 27. Homicides of intimates, by sex and race of victim, 1980-2008",,,,,,,,
,,,,,,,, 
 ,, ,, ,,,,
Year,White male,White female,Black male,Black female,,,,
1980,8.2,43.2,13,42.7,,,,
1981,8.5,42,11.9,42.1,,,,
1982,8,40.3,11.6,39.4,,,,
1983,8.7,42,12.5,41,,,,
1984,7.5,39.8,11.8,37.6,,,,
1985,7.4,42.6,11.5,39.7,,,,
1986,7.5,43.7,10.6,39.4,,,,
1987,7.5,41.3,10,34.8,,,,
1988,7,43.4,9.1,37.1,,,,
1989,6.8,41.3,9.3,34.7,,,,
1990,6.5,43.4,7.7,34.6,,,,
1991,6.2,42.9,6.7,34.3,,,,
1992,5.7,42.4,6.6,36.3,,,,
1993,5.6,42.3,6.1,35.8,,,,
1994,5.7,44.3,6.8,34.1,,,,
1995,4.8,41.1,6.3,32.6,,,,
1996,4.9,44.2,5.8,35.7,,,,
1997,5.2,43,5.1,38.4,,,,
1998,6,45.8,6.3,40.8,,,,
1999,5.4,45.8,6.4,37.2,,,,
2000,5.5,48.1,6.6,37.5,,,,
2001,5.1,44.2,6.1,42.1,,,,
2002,5.1,43.8,5.3,40.8,,,,
2003,5.2,45.6,5,40.6,,,,
2004,5.6,46.7,5.1,38.6,,,,
2005,5.1,45.6,5,42.7,,,,
2006,4.5,47.2,5,36.4,,,,
2007,5.5,46.9,5.1,40.4,,,,
2008,4.9,46.3,4.9,43.2,,,,
,,,,,,,,
Note: Percentages are based on the 63.1% of homicides between 1980 and 2008 for which the victim/offender relationships were known.,,,,,,,,
