Bureau of Justice Statistics,,,
Filename: htus8008f28.csv,,,
Report title: Homicide Trends in United States,,,
Data source: Supplementary Homicide Report,,,
Authors: Erica Smith and Alexia Cooper,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 11/16/11,,,
,,,
"Figure 28. Homicides of intimates, by relationship of victim to offender, 1980-2008",,,
,Percent of victims,,
Year,Spouse,Ex-Spouse,Boyfriend/girlfriend
1980,69.1,4.1,26.8
1981,68.4,4.6,27
1982,66,4.8,29.2
1983,65.3,4.7,30
1984,62,3.9,34.1
1985,63.2,4.4,32.4
1986,59.9,4.9,35.2
1987,61.1,3.8,35
1988,60.2,3.9,35.9
1989,57.5,3.2,39.3
1990,58,4.5,37.5
1991,55.8,3.5,40.7
1992,57.9,3.6,38.5
1993,53.9,3.9,42.2
1994,54.6,4,41.4
1995,54.7,3.1,42.2
1996,54.9,3.7,41.4
1997,52.1,4.1,43.8
1998,52.8,4.1,43.1
1999,50.6,3.8,45.6
2000,52.7,4.1,43.2
2001,51.8,3.3,45
2002,50.6,3.5,46
2003,48.2,3.7,48.1
2004,50.9,3.5,45.6
2005,50.1,3.6,46.3
2006,50.4,2.5,47.1
2007,46.9,5.1,48
2008,46.7,4.7,48.6
,,,
Note: Percentages are based on the 63.1% of homicides between 1980 and 2008 for which the victim/offender relationships were known.,,,
