Bureau of Justice Statistics,,,,,
Filename: htus8008f29a.csv,,,,,
Report title: Homicide Trends in United States,,,,,
Data source: Supplementary Homicide Report,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,
Date of version: 11/16/11,,,,,
,,,,,
"Figure 29a. Male victims of intimate homicide, by type of weapon, 1980-2008",,,,,
,,,,, 
 ,Male victims,,,,
Year,Gun,Nongun,,,
1980,68.9,30.5,,,
1981,65.7,33.6,,,
1982,62.9,36.1,,,
1983,62.4,37,,,
1984,61.6,37.6,,,
1985,61.9,37.2,,,
1986,63.2,35.6,,,
1987,59,40,,,
1988,54.9,44,,,
1989,55.9,43,,,
1990,55.2,43.2,,,
1991,52.7,46,,,
1992,52.7,45.2,,,
1993,56.6,40.9,,,
1994,56.6,42.4,,,
1995,56,42.6,,,
1996,52.7,44.3,,,
1997,55.7,41.2,,,
1998,49.7,45.8,,,
1999,49.9,47,,,
2000,47.4,48.7,,,
2001,47.7,48,,,
2002,41.9,54.9,,,
2003,47,47.6,,,
2004,44.8,49.7,,,
2005,44.5,48.5,,,
2006,44.2,52,,,
2007,45.1,48,,,
2008,41.9,54.6,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
 ,Male victims,,,,
Year,Gun,Nongun,Unknown weapon,,
1980,68.9,30.5,0.6,,
1981,65.7,33.6,0.7,,
1982,62.9,36.1,1,,
1983,62.4,37,0.6,,
1984,61.6,37.6,0.8,,
1985,61.9,37.2,0.9,,
1986,63.2,35.6,1.2,,
1987,59,40,1,,
1988,54.9,44,1.1,,
1989,55.9,43,1,,
1990,55.2,43.2,1.6,,
1991,52.7,46,1.4,,
1992,52.7,45.2,2.1,,
1993,56.6,40.9,2.5,,
1994,56.6,42.4,1.1,,
1995,56,42.6,1.3,,
1996,52.7,44.3,2.9,,
1997,55.7,41.2,3.1,,
1998,49.7,45.8,4.6,,
1999,49.9,47,3.1,,
2000,47.4,48.7,3.9,,
2001,47.7,48,4.4,,
2002,41.9,54.9,3.2,,
2003,47,47.6,5.5,,
2004,44.8,49.7,5.5,,
2005,44.5,48.5,7.1,,
2006,44.2,52,3.8,,
2007,45.1,48,7,,
2008,41.9,54.6,3.5,,
Note: Percentages are based on the 63.1% of homicides from 1980 through 2008 for which victim/offender relationships were known.,,,,,
