Bureau of Justice Statistics,,,,,
Filename: htus8008f29b.csv,,,,,
Report title: Homicide Trends in United States,,,,,
Data source: Supplementary Homicide Report,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,
Date of version: 11/16/11,,,,,
,,,,,
"Figure 29b. Female victims of intimate homicide, by type of weapon, 1980-2008",,,,,
,,,,, 
 ,Female victims,,,,
Year,Gun,Nongun,,,
1980,69.5,28.9,,,
1981,67.5,31.2,,,
1982,67.9,31.2,,,
1983,64.4,33.9,,,
1984,66.3,32.5,,,
1985,66.1,32.3,,,
1986,64.1,34.3,,,
1987,66.5,32.1,,,
1988,64,34.7,,,
1989,64.2,34.6,,,
1990,64.5,33.5,,,
1991,62.3,35.4,,,
1992,64.6,32.3,,,
1993,65.8,31.2,,,
1994,65.2,32,,,
1995,62,34.6,,,
1996,63.7,31.9,,,
1997,62,34.7,,,
1998,61.2,35.2,,,
1999,60.9,35.1,,,
2000,58.8,37.2,,,
2001,56.9,37.3,,,
2002,58.3,36.8,,,
2003,57.2,38.7,,,
2004,52.5,41.4,,,
2005,57.5,37.8,,,
2006,57.4,37.2,,,
2007,55.5,38,,,
2008,53.4,41,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
 ,Female victims,,,,
Year,Gun,Nongun,Unknown weapon,,
1980,69.5,28.9,1.6,,
1981,67.5,31.2,1.3,,
1982,67.9,31.2,0.9,,
1983,64.4,33.9,1.7,,
1984,66.3,32.5,1.3,,
1985,66.1,32.3,1.6,,
1986,64.1,34.3,1.6,,
1987,66.5,32.1,1.4,,
1988,64,34.7,1.3,,
1989,64.2,34.6,1.2,,
1990,64.5,33.5,2,,
1991,62.3,35.4,2.3,,
1992,64.6,32.3,3.1,,
1993,65.8,31.2,3,,
1994,65.2,32,2.8,,
1995,62,34.6,3.4,,
1996,63.7,31.9,4.4,,
1997,62,34.7,3.2,,
1998,61.2,35.2,3.6,,
1999,60.9,35.1,4,,
2000,58.8,37.2,4,,
2001,56.9,37.3,5.8,,
2002,58.3,36.8,4.9,,
2003,57.2,38.7,4.1,,
2004,52.5,41.4,6.1,,
2005,57.5,37.8,4.7,,
2006,57.4,37.2,5.3,,
2007,55.5,38,6.5,,
2008,53.4,41,5.6,,
Note: Percentages are based on the 63.1% of homicides from 1980 through 2008 for which victim/offender relationships were known.,,,,,
