Bureau of Justice Statistics,,,,,
Filename: htus8008f30.csv,,,,,
Report title: Homicide Trends in United States,,,,,
Data source: Supplementary Homicide Report,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,
Date of version: 11/16/11,,,,,
,,,,,
"Figure 30. Family homicides by relationship, 1980-2008",,,,,
,Percent of victims,,,,
,Spouse/ex-spouse,Parent,Sibling,Child,Other family
1980,51.9,9.7,7.9,15,15.5
1981,51.7,10.4,8.3,14.6,14.9
1982,49.2,10.3,7.5,17.2,15.8
1983,49.5,10.2,8.2,16.4,15.7
1984,47.8,11.2,9.4,15.9,15.8
1985,49.4,10.4,7.5,18.2,14.6
1986,48.7,10.3,7.4,18.2,15.3
1987,46.1,9.8,8.6,18,17.4
1988,47.9,10.7,8,18.4,15
1989,43.9,11,8.2,20.1,16.7
1990,45.9,10.1,8.9,19.3,15.8
1991,42.8,11.7,8,20.9,16.6
1992,44.5,10.8,7.6,20.8,16.2
1993,44.3,11.5,7.8,21.2,15.3
1994,43.7,11.8,8.1,20.6,15.8
1995,41.9,11.8,6.3,22.7,17.3
1996,43.5,11.5,5.9,23,16.1
1997,39.3,11.6,7.5,25.3,16.3
1998,43.2,11.8,6.1,23.5,15.4
1999,39.2,13.2,5.7,25.5,16.5
2000,42.8,12.6,6.5,22,16.2
2001,39.6,11.3,5.5,26.3,17.2
2002,39.9,12.6,6.2,24.4,17
2003,37.2,13.1,6.3,25.5,17.9
2004,39.3,12.9,6.3,24.4,17.1
2005,39.4,13.3,6.6,23.4,17.3
2006,38.1,13,5.9,25.4,17.6
2007,39.3,11.1,6.6,26.4,16.6
2008,36.7,13,6.6,25,18.7
,,,,,
Note: Percentages are based on the 63.1% of homicides between 1980 and 2008 for which the victim/offender relationships were known.,,,,,
"For additional details on spousal homicides, see Intimate homicides.",,,,,
