Bureau of Justice Statistics,,,,,
Filename: htus8008f31a.csv,,,,,
Report title: Homicide Trends in United States,,,,,
Data source: Supplementary Homicide Report,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,
Date of version: 11/16/11,,,,,
,,,,,
"Figure 31a. White victims of family homicides, by relationship, 1980-2008",,,,,
,,,,,
,White victim,,,,
,Percent of homicides,,,,
,Spouse/ex-spouse,Parent,Sibling,Child,Other family
1980,49.4,12.5,6.4,16.1,15.7
1981,51.9,11.9,7.7,15,13.5
1982,49.4,12,6.5,16.6,15.5
1983,50.1,11.8,7.7,16.4,14
1984,48.3,12.9,8.4,15.8,14.6
1985,50.5,12,6.5,17.9,13.1
1986,51.3,11.7,5.7,17.4,13.9
1987,47.9,11.5,7.8,16.4,16.5
1988,50.5,12.3,6.2,17.7,13.3
1989,45.1,12.5,7.2,20.5,14.7
1990,48.8,11.8,7.3,18.9,13.1
1991,45.4,13,6.7,19.9,15
1992,47.8,11.6,6.7,18.7,15.2
1993,48.4,13.3,6,19.6,12.6
1994,46.8,12.8,6.7,19.5,14.3
1995,44.8,12.6,5.2,22.7,14.7
1996,47.3,11.9,4.3,21.6,14.9
1997,42.7,13.4,5.9,24.1,13.9
1998,46,13.9,5,22.6,12.6
1999,42.8,14.8,5.2,23.3,13.9
2000,46.8,13.4,5.6,20.4,13.8
2001,41.1,12.8,4.5,25.6,16
2002,42.4,13.9,5.3,22.5,15.9
2003,40.3,14.4,5.4,24.2,15.7
2004,43.6,14.3,5.8,23,13.3
2005,42.4,15.1,6,21.5,15
2006,42.5,14.5,4.9,24,14.1
2007,42.9,11.7,5.7,25.1,14.5
2008,39.2,14.9,5.6,23.5,16.9
Note: Percentages are based on the 63.1% of homicides from 1980 through 2008 for which victim/offender relationships were known. ,,,,,
"For additional details on spousal homicides, see section on intimate homicides.",,,,,
