Bureau of Justice Statistics,,,,,
Filename: htus8008f31b.csv,,,,,
Report title: Homicide Trends in United States,,,,,
Data source: Supplementary Homicide Report,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,
Date of version: 11/16/11,,,,,
,,,,,
"Figure 31b. Black victims of family homicides, by relationship, 1980-2008",,,,,
,,,,,
,Black victim,,,,
,Percent of homicides,,,,
,Spouse/ex-spouse,Parent,Sibling,Child,Other family
1980,55.9,6,10,13.4,14.8
1981,51.8,8.7,8.8,13.8,16.9
1982,49.3,7.4,8.8,18.1,16.4
1983,49.1,7.4,8.7,16.6,18.2
1984,47.4,8.5,11.2,15.4,17.5
1985,47.4,7.6,8.9,18.9,17.2
1986,45.4,8,9.9,19.4,17.3
1987,43.6,7.1,10,20.8,18.5
1988,43.7,8.1,10.5,20,17.8
1989,42.9,8.7,10,18.8,19.7
1990,40.5,7.3,11.9,19.8,20.5
1991,38.4,10.1,10.3,22,19.3
1992,40.1,10.1,8.7,23.1,18
1993,37.7,8.9,10.6,23.4,19.4
1994,38.3,10.4,10.7,22.3,18.4
1995,36.6,10,8.4,22.6,22.4
1996,36.5,10.5,9.4,26,17.7
1997,33.1,9.1,10.6,26.6,20.7
1998,36.8,7.9,9,25.5,20.8
1999,31.3,9.8,7,30.2,21.7
2000,31.8,10.4,8.7,27,22.1
2001,34.3,8.1,7.1,30.3,20.3
2002,33.2,10.5,9.2,28.5,18.6
2003,30.2,11.1,8,28.5,22.2
2004,29.6,10,7.6,28.7,24.1
2005,32.5,8.4,8.1,28,23.1
2006,26.7,10.9,8.4,28.6,25.3
2007,30.3,9.4,9.6,29.9,20.9
2008,29.2,8.6,9.7,30,22.5
Note: Percentages are based on the 63.1% of homicides from 1980 through 2008 for which victim/offender relationships were known. ,,,,,
"For additional details on spousal homicides, see section on intimate homicides.",,,,,
