Bureau of Justice Statistics,,,,,,,,
Filename: htus8008f32a.csv,,,,,,,,
Report title: Homicide Trends in United States,,,,,,,,
Data source: Supplementary Homicide Report,,,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 11/16/11,,,,,,,,
,,,,,,,,
"Figure 32a. Fathers killed by children, by sex and age of offender, 1980-2008",,,,,,,,
,,,,,,,,
,Fathers killed by children,,,,,,,
Age of offender,Killed by son,Killed by daughter,,,,,, 
7,1, ,,,,,,
8,1, ,,,,,,
9,1, ,,,,,,
10,7, ,,,,,,
11,6,1,,,,,,
12,17,6,,,,,,
13,51,9,,,,,,
14,86,23,,,,,,
15,189,34,,,,,,
16,259,50,,,,,,
17,267,31,,,,,,
18,210,29,,,,,,
19,224,28,,,,,,
20,203,21,,,,,,
21,205,25,,,,,,
22,177,13,,,,,,
23,182,24,,,,,,
24,167,16,,,,,,
25,136,13,,,,,,
26,116,12,,,,,,
27,115,19,,,,,,
28,128,11,,,,,,
29,97,12,,,,,,
30,96,17,,,,,,
31,86,10,,,,,,
32,83,11,,,,,,
33,89,15,,,,,,
34,82,23,,,,,,
35,63,6,,,,,,
36,74,9,,,,,,
37,54,10,,,,,,
38,53,6,,,,,,
39,46,10,,,,,,
40,46,6,,,,,,
41,59,4,,,,,,
42,40,5,,,,,,
43,45,8,,,,,,
44,35,3,,,,,,
45,24,6,,,,,,
46,27,5,,,,,,
47,22,4,,,,,,
48,33,4,,,,,,
49,23,2,,,,,,
50,15,3,,,,,,
51,19,2,,,,,,
52,11,1,,,,,,
53,4,4,,,,,,
54,9,7,,,,,,
55,9,1,,,,,,
56,2,2,,,,,,
57,6,1,,,,,,
58,8,1,,,,,,
59,1, ,,,,,,
60,9, ,,,,,,
61,3,1,,,,,,
62,2, ,,,,,,
63,1, ,,,,,,
64,2, ,,,,,,
65,2,2,,,,,,
66, , ,,,,,,
67,2, ,,,,,,
68, ,2,,,,,,
69, , ,,,,,,
70, , ,,,,,,
71, , ,,,,,,
72, ,2,,,,,,
73, , ,,,,,,
74, , ,,,,,,
75, , ,,,,,,
76, , ,,,,,,
77, , ,,,,,,
78, , ,,,,,,
79, , ,,,,,,
80, , ,,,,,,
81, , ,,,,,,
82, , ,,,,,,
83, , ,,,,,,
,,,,,,,, 
Note: Percentages are based on the 63.1% of homicides from 1980 through 2008 for which the victim/offender relationships were known.,,,,,,,,
