Bureau of Justice Statistics,,,,,,,,
Filename: htus8008f32b.csv,,,,,,,,
Report title: Homicide Trends in United States,,,,,,,,
Data source: Supplementary Homicide Report,,,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 11/16/11,,,,,,,,
,,,,,,,,
"Figure 32b. Mothers killed by children, by sex and age of offender, 1980-2008",,,,,,,,
,,,,,,,,
,Mothers killed by children,,,,,,,
Age of offender,Killed by son,Killed by daughter,,,,,, 
7, , ,,,,,,
8,1, ,,,,,,
9,1, ,,,,,,
10,1, ,,,,,,
11,1,2,,,,,,
12,9,2,,,,,,
13,21,12,,,,,,
14,57,18,,,,,,
15,94,18,,,,,,
16,104,31,,,,,,
17,132,18,,,,,,
18,126,14,,,,,,
19,114,13,,,,,,
20,104,12,,,,,,
21,94,7,,,,,,
22,102,11,,,,,,
23,82,11,,,,,,
24,99,7,,,,,,
25,97,10,,,,,,
26,83,12,,,,,,
27,91,14,,,,,,
28,80,8,,,,,,
29,92,8,,,,,,
30,76,11,,,,,,
31,78,11,,,,,,
32,73,4,,,,,,
33,68,6,,,,,,
34,70,7,,,,,,
35,81,11,,,,,,
36,63,11,,,,,,
37,68,10,,,,,,
38,63,14,,,,,,
39,42,12,,,,,,
40,60,7,,,,,,
41,38,10,,,,,,
42,53,11,,,,,,
43,48,10,,,,,,
44,45,16,,,,,,
45,48,9,,,,,,
46,24,15,,,,,,
47,31,12,,,,,,
48,22,7,,,,,,
49,31,11,,,,,,
50,32,9,,,,,,
51,18,8,,,,,,
52,26,2,,,,,,
53,24,5,,,,,,
54,25,12,,,,,,
55,20,9,,,,,,
56,15,11,,,,,,
57,18,6,,,,,,
58,10,6,,,,,,
59,16,3,,,,,,
60,15,6,,,,,,
61,12,3,,,,,,
62,10,2,,,,,,
63,7,2,,,,,,
64,6, ,,,,,,
65,3,2,,,,,,
66,2,3,,,,,,
67,2,2,,,,,,
68,3,2,,,,,,
69,1, ,,,,,,
70,1, ,,,,,,
71,1, ,,,,,,
72,1, ,,,,,,
73, , ,,,,,,
74,3, ,,,,,,
75,2, ,,,,,,
76, ,1,,,,,,
77, , ,,,,,,
78,1, ,,,,,,
79, , ,,,,,,
80, , ,,,,,,
81, ,1,,,,,,
82, , ,,,,,,
83,1,1,,,,,,
Note: Percentages are based on the 63.1% of homicides from 1980 through 2008 for which the victim/offender relationships were known.,,,,,,,, 
