Bureau of Justice Statistics,,,,,,,,
Filename: htus8008f33a.csv,,,,,,,,
Report title: Homicide Trends in United States,,,,,,,,
Data source: Supplementary Homicide Report,,,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 11/16/11,,,,,,,,
,,,,,,,,
"Figure 33a. Brothers killed by a sibling, by sex and age of offender, 1980-2008",,,,,,,,
,,,,,,,,
,Brothers killed by a sibling,,,,,,,
Age of offender,Killed by brother,Killed by sister,,,,,,
7,,,,,,,,
8,4, ,,,,,,
9,4, ,,,,,,
10,8,1,,,,,,
11,11, ,,,,,,
12,21,4,,,,,,
13,31,5,,,,,,
14,61,7,,,,,,
15,86,10,,,,,,
16,108,22,,,,,,
17,101,10,,,,,,
18,154,15,,,,,,
19,143,14,,,,,,
20,136,11,,,,,,
21,143,20,,,,,,
22,158,12,,,,,,
23,154,15,,,,,,
24,123,18,,,,,,
25,135,13,,,,,,
26,127,19,,,,,,
27,133,8,,,,,,
28,116,12,,,,,,
29,136,10,,,,,,
30,109,13,,,,,,
31,84,12,,,,,,
32,109,14,,,,,,
33,86,14,,,,,,
34,96,11,,,,,,
35,92,6,,,,,,
36,87,10,,,,,,
37,85,4,,,,,,
38,81,6,,,,,,
39,81,7,,,,,,
40,93,6,,,,,,
41,80,2,,,,,,
42,58,6,,,,,,
43,53,8,,,,,,
44,55,3,,,,,,
45,55,4,,,,,,
46,49,6,,,,,,
47,44,4,,,,,,
48,43,3,,,,,,
49,42,4,,,,,,
50,37, ,,,,,,
51,27, ,,,,,,
52,31, ,,,,,,
53,31,2,,,,,,
54,27, ,,,,,,
55,29, ,,,,,,
56,23,1,,,,,,
57,13,2,,,,,,
58,19,2,,,,,,
59,19,1,,,,,,
60,18,1,,,,,,
61,11,1,,,,,,
62,12,1,,,,,,
63,16,1,,,,,,
64,3,2,,,,,,
65,9,2,,,,,,
66,8,1,,,,,,
67,8, ,,,,,,
68,7, ,,,,,,
69,5,1,,,,,,
70,4, ,,,,,,
71,2,1,,,,,,
72,7, ,,,,,,
73,6, ,,,,,,
74, ,2,,,,,,
75,3,1,,,,,,
76,4,1,,,,,,
77,1, ,,,,,,
78,1, ,,,,,,
79,,,,,,,,
80,1, ,,,,,,
81,,,,,,,,
82,2, ,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
,,,,,,,,
Note: Percentages are based on the 63.1% of homicides from 1980 through 2008 for which victim/offender relationships were known.,,,,,,,, 
