Bureau of Justice Statistics,,,,,,,,
Filename: htus8008f33b.csv,,,,,,,,
Report title: Homicide Trends in United States,,,,,,,,
Data source: Supplementary Homicide Report,,,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 11/16/11,,,,,,,,
,,,,,,,,
"Figure 33b. Sisters killed by siblings, by sex and age of offender, 1980-2008",,,,,,,,
,,,,,,,,
,Sisters killed by a sibling,,,,,,,
Age of offender,Killed by brother,Killed by sister,,,,,,
7,3, ,,,,,,
8,5,3,,,,,,
9,6, ,,,,,,
10,2,2,,,,,,
11,9,1,,,,,,
12,11,4,,,,,,
13,16,2,,,,,,
14,44,12,,,,,,
15,38,5,,,,,,
16,44,11,,,,,,
17,36,6,,,,,,
18,26,5,,,,,,
19,23,4,,,,,,
20,22,4,,,,,,
21,18,6,,,,,,
22,34,7,,,,,,
23,22,4,,,,,,
24,25,1,,,,,,
25,25,7,,,,,,
26,18,5,,,,,,
27,16,5,,,,,,
28,13,6,,,,,,
29,12,4,,,,,,
30,12,5,,,,,,
31,15,1,,,,,,
32,16,7,,,,,,
33,17,3,,,,,,
34,12,4,,,,,,
35,12,6,,,,,,
36,8,3,,,,,,
37,7,4,,,,,,
38,10,3,,,,,,
39,8,4,,,,,,
40,11, ,,,,,,
41,9,7,,,,,,
42,2,2,,,,,,
43,8,2,,,,,,
44,8,2,,,,,,
45,9, ,,,,,,
46,8,5,,,,,,
47,7,2,,,,,,
48,4,2,,,,,,
49,5,1,,,,,,
50,7,3,,,,,,
51,2,1,,,,,,
52,11,2,,,,,,
53,6, ,,,,,,
54,7, ,,,,,,
55,5,1,,,,,,
56,6,2,,,,,,
57,8,1,,,,,,
58,7, ,,,,,,
59,4,3,,,,,,
60,2,1,,,,,,
61,2,3,,,,,,
62,4, ,,,,,,
63,3,2,,,,,,
64,3,2,,,,,,
65,7,1,,,,,,
66,4,2,,,,,,
67,2,1,,,,,,
68, ,1,,,,,,
69,3, ,,,,,,
70,3, ,,,,,,
71,1,1,,,,,,
72,4,1,,,,,,
73,1,1,,,,,,
74,1, ,,,,,,
75, ,2,,,,,,
76,1, ,,,,,,
77,2, ,,,,,,
78,2, ,,,,,,
79,2, ,,,,,,
80,1, ,,,,,,
81,,,,,,,,
82,,,,,,,,
83,4,1,,,,,,
84,,,,,,,,
85,1,2,,,,,,
86,,,,,,,,
87,1, ,,,,,,
88,1,1,,,,,,
,,,,,,,,
Note: Percentages are based on the 63.1% of homicides from 1980 through 2008 for which victim/offender relationships were known.,,,,,,,, 
