Bureau of Justice Statistics,,,,
Filename: htus8008f35.csv,,,,
Report title: Homicide Trends in United States,,,,
Data source: Supplementary Homicide Report,,,,
Authors: Erica Smith and Alexia Cooper,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,
Date of version: 11/16/11,,,,
,,,,
"Figure 35. Law enforcement officers killed in the line of duty by weapon type, 1980-2010",,,,
,,,,
Year,Number killed,Handguns,Other guns,Other methods
1980,104,69,26,9
1981,91,69,17,5
1982,92,60,22,10
1983,80,54,20,6
1984,72,46,20,6
1985,78,58,12,8
1986,66,51,11,4
1987,74,49,18,7
1988,78,63,13,2
1989,66,40,17,9
1990,66,48,9,9
1991,71,50,18,3
1992,64,44,11,9
1993,70,50,17,3
1994,79,66,12,1
1995,74,43,19,12
1996,61,50,7,4
1997,70,50,18,2
1998,61,40,18,3
1999,42,25,16,1
2000,51,33,14,4
2001,70,46,15,9
2002,56,38,13,5
2003,52,34,11,7
2004,57,36,18,3
2005,55,42,8,5
2006,48,36,10,2
2007,58,39,17,2
2008,41,25,10,6
2009,48,28,17,3
2010,56,38,17,1
,,,,
"Source:  FBI,  Law Enforcement Officers Killed and Assaulted, 1980-2010",,,,
See also Additional information about the data.,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"Law enforcement officers killed in the line of duty by weapon type, 1980-2010",,,,
,,,,
Year,Total killed*,With handguns,With other guns,Other methods†
1980,104,69,26,9
1981,91,69,17,5
1982,92,60,22,10
1983,80,54,20,6
1984,72,46,20,6
1985,78,58,12,8
1986,66,51,11,4
1987,74,49,18,7
1988,78,63,13,2
1989,66,40,17,9
1990,66,48,9,9
1991,71,50,18,3
1992,64,44,11,9
1993,70,50,17,3
1994,79,66,12,1
1995,74,43,19,12
1996,61,50,7,4
1997,70,50,18,2
1998,61,40,18,3
1999,42,25,16,1
2000,51,33,14,4
2001,70,46,15,9
2002,56,38,13,5
2003,52,34,11,7
2004,57,36,18,3
2005,55,42,8,5
2006,48,36,10,2
2007,58,39,17,2
2008,41,25,10,6
,,,,
"* The 72 deaths that resulted from the events of September 11, 2001 are not included in these totals.",,,,
"†""Other methods"" includes knife or other cutting instrument, bomb, blunt instrument, personal weapons and vehicles.",,,,
"Source:  FBI,  Law Enforcement Officers Killed and Assaulted, 1980-2010",,,,
