Bureau of Justice Statistics,,
Filename: htus8008f36.csv,,
Report title: Homicide Trends in United States,,
Data source: Supplementary Homicide Report,,
Authors: Erica Smith and Alexia Cooper,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,
Date of version: 11/16/11,,
,,
"Figure 36. Homicides involving multiple offenders or multiple victims, 1980-2008",,
,,
Year,Multiple victims,Multiple offenders
1980,3.2,11.3
1981,3.2,11.3
1982,3.4,11.8
1983,3.3,11.5
1984,3.2,11.6
1985,3.7,11.5
1986,3.3,11.9
1987,3.5,12.2
1988,3.2,14.6
1989,3.3,14.5
1990,3.2,17
1991,3.2,18.3
1992,3.8,16.9
1993,3.6,17.7
1994,4,18.3
1995,4,17.7
1996,4,18.2
1997,4.1,17.9
1998,3.9,18
1999,4.5,17.6
2000,4.1,18.7
2001,4.5,18.2
2002,4.7,18.8
2003,4.9,17.9
2004,4.4,18
2005,4.6,20
2006,4.5,20.7
2007,4.4,20.5
2008,4.5,19.8
