Bureau of Justice Statistics,,,,,
Filename: htus8008f37.csv,,,,,
Report title: Homicide Trends in United States,,,,,
Data source: Supplementary Homicide Report,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,
Date of version: 11/16/11,,,,,
,,,,,
"Figure 37. Homicides involving multiple victims, by number of victims, 1980-2008",,,,,
,,,,,
Year,2 victims,More than 2 victims,,,
1980,2.70%,0.50%,,,
1981,2.70%,0.50%,,,
1982,2.80%,0.60%,,,
1983,2.80%,0.40%,,,
1984,2.70%,0.50%,,,
1985,3.10%,0.70%,,,
1986,2.80%,0.50%,,,
1987,2.90%,0.70%,,,
1988,2.70%,0.50%,,,
1989,2.70%,0.60%,,,
1990,2.60%,0.60%,,,
1991,2.70%,0.40%,,,
1992,3.20%,0.60%,,,
1993,3.00%,0.60%,,,
1994,3.50%,0.50%,,,
1995,3.30%,0.70%,,,
1996,3.40%,0.60%,,,
1997,3.40%,0.70%,,,
1998,3.30%,0.60%,,,
1999,3.80%,0.70%,,,
2000,3.40%,0.70%,,,
2001,3.80%,0.60%,,,
2002,3.80%,0.90%,,,
2003,4.00%,0.90%,,,
2004,3.70%,0.70%,,,
2005,3.80%,0.80%,,,
2006,3.70%,0.90%,,,
2007,3.70%,0.70%,,,
2008,3.70%,0.80%,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Homicides involving multiple victims, by number of victims",,,,,
 ,Victims per Homicide Incident,,,,
Year,1,2,3,4,5+
1980,96.80%,2.70%,0.30%,0.10%,0.10%
1981,96.80%,2.70%,0.30%,0.10%,0.10%
1982,96.60%,2.80%,0.40%,0.10%,0.10%
1983,96.70%,2.80%,0.30%,0.10%,0.00%
1984,96.80%,2.70%,0.30%,0.10%,0.10%
1985,96.30%,3.10%,0.50%,0.10%,0.10%
1986,96.70%,2.80%,0.30%,0.10%,0.10%
1987,96.50%,2.90%,0.50%,0.10%,0.10%
1988,96.80%,2.70%,0.30%,0.10%,0.10%
1989,96.70%,2.70%,0.40%,0.20%,0.00%
1990,96.80%,2.60%,0.40%,0.10%,0.10%
1991,96.90%,2.70%,0.30%,0.10%,0.00%
1992,96.20%,3.20%,0.40%,0.10%,0.10%
1993,96.40%,3.00%,0.40%,0.10%,0.10%
1994,96.00%,3.50%,0.40%,0.10%,0.00%
1995,96.00%,3.30%,0.50%,0.10%,0.10%
1996,96.00%,3.40%,0.50%,0.10%,0.00%
1997,95.90%,3.40%,0.50%,0.10%,0.10%
1998,96.10%,3.30%,0.50%,0.10%,0.00%
1999,95.50%,3.80%,0.50%,0.10%,0.10%
2000,95.90%,3.40%,0.50%,0.10%,0.10%
2001,95.50%,3.80%,0.50%,0.10%,0.00%
2002,95.30%,3.80%,0.60%,0.20%,0.10%
2003,95.20%,4.00%,0.60%,0.20%,0.10%
2004,95.60%,3.70%,0.50%,0.10%,0.10%
2005,95.40%,3.80%,0.60%,0.10%,0.10%
2006,95.50%,3.70%,0.60%,0.20%,0.10%
2007,95.60%,3.70%,0.50%,0.10%,0.10%
2008,95.50%,3.70%,0.50%,0.20%,0.10%
