Bureau of Justice Statistics,,,
Filename: htus8008f38.csv,,,
Report title: Homicide Trends in United States,,,
Data source: Supplementary Homicide Report,,,
Authors: Erica Smith and Alexia Cooper,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 11/16/11,,,
,,,
"Figure 38. Percent of homicides involving multiple offenders, by age of offender, 1980-2008",,,
,,,
 ,Offender Age,,
Year,14-17,18-24,25 or older
1980,23.90%,18.20%,7.20%
1981,27.10%,19.20%,6.90%
1982,30.60%,18.90%,7.40%
1983,25.20%,19.30%,7.40%
1984,26.30%,18.90%,7.70%
1985,27.30%,19.00%,7.60%
1986,26.40%,19.60%,7.70%
1987,24.60%,19.60%,7.80%
1988,29.10%,23.60%,9.30%
1989,28.50%,22.20%,8.90%
1990,32.20%,25.20%,9.80%
1991,31.50%,26.30%,10.50%
1992,29.60%,25.40%,9.50%
1993,30.90%,24.90%,9.10%
1994,31.80%,24.60%,9.60%
1995,31.90%,24.90%,9.80%
1996,33.80%,26.90%,9.70%
1997,31.90%,24.90%,10.00%
1998,31.10%,26.50%,10.60%
1999,29.60%,24.30%,10.90%
2000,31.60%,27.70%,11.70%
2001,34.80%,27.30%,11.40%
2002,33.80%,26.70%,11.80%
2003,33.80%,25.20%,10.70%
2004,34.80%,25.90%,12.00%
2005,34.80%,27.90%,13.90%
2006,36.80%,28.90%,14.30%
2007,37.70%,29.10%,14.50%
2008,37.50%,27.50%,13.70%
