Bureau of Justice Statistics,,,,,,
Filename: htus8008f39.csv,,,,,,
Report title: Homicide Trends in United States,,,,,,
Data source: Supplementary Homicide Report,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,
Date of version: 11/16/11,,,,,,
,,,,,,
"Figure 39. Percent of homicides involving guns, by number of victims, 1980-2008",,,,,,
 ,,,,,,
Year,1 victim,2 or more victims,,,,
1980,62.2,65.9,,,,
1981,61.8,71.2,,,,
1982,59.5,68.4,,,,
1983,57.7,66.9,,,,
1984,58.3,67.6,,,,
1985,58,66.1,,,,
1986,58.6,65.4,,,,
1987,58.3,68.7,,,,
1988,60.3,65.1,,,,
1989,62,67.9,,,,
1990,64.1,67.3,,,,
1991,65.7,74.2,,,,
1992,67.6,74.9,,,,
1993,68.9,77.9,,,,
1994,69.5,75.7,,,,
1995,67.9,70.9,,,,
1996,66.6,77.3,,,,
1997,66.7,78.8,,,,
1998,63.6,78.6,,,,
1999,64,76.5,,,,
2000,64.2,78.9,,,,
2001,62,75.1,,,,
2002,65.7,76.3,,,,
2003,65.8,76.4,,,,
2004,65.3,73.5,,,,
2005,67,75.3,,,,
2006,67,75.4,,,,
2007,66.9,78.1,,,,
2008,65.7,77.2,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Percent of homicides involving guns by number of victims, 1980-2008",,,,,,
 ,,,,,,
 ,1 victim, ,,2 or more victims,,
Year,Gun,Non-gun,Unknown weapon,Gun,Non-gun,Unknown weapon
1980,62.2,34.5,3.3,65.9,30.7,3.4
1981,61.8,35,3.2,71.2,26.6,2.1
1982,59.5,37.4,3.1,68.4,28.8,2.8
1983,57.7,39.2,3.1,66.9,30.6,2.5
1984,58.3,38.2,3.5,67.6,30.8,1.7
1985,58,38.2,3.8,66.1,31.3,2.6
1986,58.6,37.8,3.6,65.4,32.5,2.1
1987,58.3,37.7,4,68.7,28.8,2.6
1988,60.3,36.2,3.5,65.1,32.8,2
1989,62,34.3,3.7,67.9,29.3,2.8
1990,64.1,32.3,3.7,67.3,30.5,2.2
1991,65.7,30.3,4,74.2,22.8,3
1992,67.6,27.6,4.8,74.9,22.8,2.3
1993,68.9,25.9,5.1,77.9,18.3,3.8
1994,69.5,25.5,5,75.7,21.1,3.2
1995,67.9,27.1,5,70.9,26.3,2.7
1996,66.6,28.7,4.7,77.3,19.6,3
1997,66.7,28.3,5,78.8,17.1,4.1
1998,63.6,30.1,6.3,78.6,16.9,4.4
1999,64,30.6,5.5,76.5,20.1,3.4
2000,64.2,29.6,6.2,78.9,17.1,3.9
2001,62,29,9,75.1,17.8,7.1
2002,65.7,28.2,6.1,76.3,17.3,6.4
2003,65.8,28.3,5.9,76.4,20,3.6
2004,65.3,28.8,6,73.5,19.8,6.7
2005,67,26.6,6.4,75.3,17.7,6.9
2006,67,25.2,7.8,75.4,18.4,6.2
2007,66.9,26.2,6.9,78.1,17.2,4.7
2008,65.7,27.1,7.3,77.2,18,4.8
,,,,,,
"Source: FBI, Supplementary Homicide Reports, 1980-2008",,,,,,
See the methodology section in 'Additional Information About the Data' for weighting and imputation procedures used.,,,,,,
