Bureau of Justice Statistics,,,
Filename: htus8008f43.csv,,,
Report title: Homicide Trends in United States,,,
Data source: Supplementary Homicide Report,,,
Authors: Erica Smith and Alexia Cooper,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 11/16/11,,,
,,,
"Figure 43. Homicides involving guns, by age of victim, 1980-2008",,,
,,,
Age of Victim,Gun,,
Under 1,3.7,,
1,7.4,,
2,11,,
3,16.8,,
4,22.5,,
5,27.9,,
6,33.8,,
7,36.3,,
8,38.1,,
9,42,,
10,47.5,,
11,49.8,,
12,56.4,,
13,61.7,,
14,71.5,,
15,75.9,,
16,78.3,,
17,79,,
18,78.9,,
19,79,,
20,76.6,,
21,76.7,,
22,76.3,,
23,74.9,,
24,74.3,,
25,73.5,,
26,72.6,,
27,72.2,,
28,71.4,,
29,69.9,,
30,68.7,,
31,69.6,,
32,68.7,,
33,68.1,,
34,67,,
35,64.6,,
36,64.9,,
37,64.4,,
38,64.3,,
39,63.4,,
40,61.5,,
41,62.2,,
42,62,,
43,61.7,,
44,60.8,,
45,60.2,,
46,60.3,,
47,57.5,,
48,58.7,,
49,57,,
50,55.9,,
51,55.3,,
52,55.1,,
53,55.2,,
54,54.2,,
55,53.8,,
56,52.3,,
57,52.8,,
58,50,,
59,51.6,,
60,51.1,,
61,49.6,,
62,49.5,,
63,46.7,,
64,45.1,,
65,44.2,,
66,46.5,,
67,45.2,,
68,44.3,,
69,41.7,,
70,38.1,,
71,39.7,,
72,37.8,,
73,37,,
74,34,,
75,31.7,,
76,35.4,,
77,31.2,,
78,30.5,,
79,30.6,,
80,26.1,,
81,25.3,,
82,25.1,,
83,24.5,,
84,23.4,,
85,21.7,,
86,22,,
87,19.8,,
88,16.7,,
89,24.2,,
90 or older,18.2,,
,,,
"Note: For 5.0% of homicides from 1980 through 2008, the type of weapon used was unknown.",,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"Homicides involving guns, by age of victim, 1980-2008",,,
,,,
Age of Victim,Gun,Nongun,Unknown
Under 1,3.7,76.4,19.8
1,7.4,77.2,15.4
2,11,75.5,13.5
3,16.8,71.2,12
4,22.5,64.7,12.8
5,27.9,61.5,10.6
6,33.8,55.8,10.4
7,36.3,53.3,10.4
8,38.1,51,10.9
9,42,49.6,8.5
10,47.5,44.7,7.8
11,49.8,43.2,6.9
12,56.4,37.7,5.9
13,61.7,31.4,6.8
14,71.5,23.5,5
15,75.9,20.2,3.8
16,78.3,18.4,3.3
17,79,17.8,3.2
18,78.9,17.9,3.2
19,79,17.9,3.1
20,76.6,20.1,3.4
21,76.7,20,3.2
22,76.3,20.5,3.2
23,74.9,21.9,3.2
24,74.3,22.6,3.1
25,73.5,22.6,3.9
26,72.6,24.1,3.3
27,72.2,24.3,3.5
28,71.4,24.7,3.9
29,69.9,26.4,3.7
30,68.7,27.3,4
31,69.6,27,3.4
32,68.7,27.4,3.9
33,68.1,27.8,4.1
34,67,29.2,3.9
35,64.6,31.1,4.3
36,64.9,30.7,4.4
37,64.4,31.4,4.2
38,64.3,31.2,4.5
39,63.4,32.9,3.7
40,61.5,33.2,5.3
41,62.2,33.2,4.7
42,62,33.4,4.6
43,61.7,33.6,4.7
44,60.8,34,5.2
45,60.2,34.6,5.2
46,60.3,34.7,4.9
47,57.5,37.2,5.4
48,58.7,36,5.3
49,57,36.7,6.2
50,55.9,38.5,5.6
51,55.3,38.7,6.1
52,55.1,39.4,5.6
53,55.2,39.4,5.5
54,54.2,40.4,5.4
55,53.8,40.7,5.5
56,52.3,41.9,5.8
57,52.8,41.6,5.6
58,50,43.8,6.2
59,51.6,42.7,5.7
60,51.1,41.8,7.1
61,49.6,44.5,5.9
62,49.5,45,5.5
63,46.7,46.1,7.2
64,45.1,47.8,7.1
65,44.2,50.4,5.5
66,46.5,47.2,6.3
67,45.2,48,6.8
68,44.3,49,6.7
69,41.7,52.1,6.2
70,38.1,52.6,9.3
71,39.7,52.5,7.8
72,37.8,54.2,8.1
73,37,55.6,7.4
74,34,58,7.9
75,31.7,59.5,8.8
76,35.4,58,6.7
77,31.2,60.8,8
78,30.5,59.6,9.9
79,30.6,59.9,9.5
80,26.1,62,11.9
81,25.3,65.2,9.6
82,25.1,65.3,9.6
83,24.5,66.1,9.5
84,23.4,66.6,10
85,21.7,66.3,12
86,22,68.2,9.8
87,19.8,69.5,10.7
88,16.7,68.8,14.5
89,24.2,67.8,8.1
90 or older,18.2,66,15.8
,,,
"Source: FBI, Supplementary Homicide Reports, 1980-2008",,,
See the methodology section in 'Additional Information About the Data' for weighting and imputation procedures used.,,,
