Bureau of Justice Statistics,,,,,,,,,,,,
Filename: htus8008f44c.csv,,,,,,,,,,,,
Report title: Homicide Trends in United States,,,,,,,,,,,,
Data source: Supplementary Homicide Report,,,,,,,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,
Date of version: 11/16/11,,,,,,,,,,,,
,,,,,,,,,,,,
"Figure 44c. Homicide offenders age 25 and older, by weapon type, 1980-2008",,,,,,,,,,,,
,Ages 25 or older,,,,,,,,,,,
 ,Number of homicide offenders,,,,,,,,,,,
 ,Gun,Nongun,,,,,,,,,,
1980,10047,4816,,,,,,,,,,
1981,9689,4540,,,,,,,,,,
1982,8715,4695,,,,,,,,,,
1983,7894,4512,,,,,,,,,,
1984,7684,4522,,,,,,,,,,
1985,7668,4417,,,,,,,,,,
1986,8232,4812,,,,,,,,,,
1987,7633,4763,,,,,,,,,,
1988,7733,4703,,,,,,,,,,
1989,7455,4759,,,,,,,,,,
1990,7834,5022,,,,,,,,,,
1991,7757,4933,,,,,,,,,,
1992,7480,4375,,,,,,,,,,
1993,7259,4176,,,,,,,,,,
1994,6880,4044,,,,,,,,,,
1995,6317,4083,,,,,,,,,,
1996,5711,3771,,,,,,,,,,
1997,5503,3494,,,,,,,,,,
1998,5060,3560,,,,,,,,,,
1999,4664,3231,,,,,,,,,,
2000,4861,3293,,,,,,,,,,
2001,4806,3320,,,,,,,,,,
2002,5359,3272,,,,,,,,,,
2003,5204,3510,,,,,,,,,,
2004,5195,3548,,,,,,,,,,
2005,5693,3368,,,,,,,,,,
2006,5752,3283,,,,,,,,,,
2007,5670,3433,,,,,,,,,,
2008,5459,3486,,,,,,,,,,
,,,,,,,,,,,,
"Note: Weapon type was unknown for 2.6% of homicides involving offenders ages 14-17, 3.1% of offenders ages 18-24, and 4.1% of offenders ages 25 or older.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Homicide offending weapon type and age of offender, 1980-2008",,,,,,,,,,,,
,,,,,,,,,,,,
 ,Under 14, ,,14-17, ,,18-24, ,,25 or older,,
 ,Gun,Nongun,Unknown,Gun,Nongun,Unknown,Gun,Nongun,Unknown,Gun,Nongun,Unknown
1980,55,50,3,1218,817,59,5228,3437,177,10047,4816,293
1981,51,31,2,1186,728,32,4642,3153,143,9689,4540,279
1982,36,58,1,970,744,25,4085,3204,140,8715,4695,208
1983,42,38,3,866,659,32,3680,2945,126,7894,4512,210
1984,38,30,4,799,540,23,3557,2777,123,7684,4522,239
1985,55,36,4,960,572,16,3663,2537,185,7668,4417,258
1986,64,32,1,1108,696,47,4046,2733,132,8232,4812,275
1987,56,60,1,1220,612,38,4210,2613,159,7633,4763,338
1988,55,47,0,1687,692,49,4836,2566,149,7733,4703,317
1989,81,43,3,1985,615,43,5673,2509,204,7455,4759,336
1990,58,40,1,2625,750,56,6762,2735,206,7834,5022,378
1991,101,33,8,2964,738,87,8272,2737,246,7757,4933,392
1992,97,53,0,3131,642,65,7891,2186,190,7480,4375,436
1993,124,41,3,3559,712,58,8594,2306,293,7259,4176,512
1994,160,47,3,3648,655,92,8312,2021,204,6880,4044,423
1995,108,42,1,2918,678,64,7434,1994,191,6317,4083,382
1996,65,33,2,2362,700,74,7004,1970,281,5711,3771,438
1997,49,56,1,2100,541,41,6362,1849,200,5503,3494,404
1998,63,29,12,1567,515,61,5659,1945,289,5060,3560,560
1999,42,40,3,1241,414,83,5276,1684,254,4664,3231,468
2000,31,37,2,1097,373,68,5403,1761,265,4861,3293,553
2001,19,29,4,1029,381,107,5483,1683,548,4806,3320,755
2002,37,21,5,1028,359,91,5463,1654,352,5359,3272,608
2003,42,32,3,1092,312,71,5397,1783,354,5204,3510,612
2004,41,37,2,1066,437,47,5300,1688,264,5195,3548,584
2005,24,30,5,1211,361,63,5843,1592,328,5693,3368,698
2006,26,35,4,1459,373,86,6164,1394,485,5752,3283,694
2007,33,20,3,1490,372,71,5767,1533,376,5670,3433,816
2008,33,15,6,1211,354,79,5281,1631,395,5459,3486,799
,,,,,,,,,,,,
"Note: Weapon type was unknown for 2.6% of homicides involving offenders ages 14-17, 3.1% of offenders ages 18-24, and 4.1% of offenders ages 25 or older.",,,,,,,,,,,,
