Bureau of Justice Statistics,,,,
Filename: htus8008f46.csv,,,,
Report title: Homicide Trends in United States,,,,
Data source: Supplementary Homicide Report,,,,
Authors: Erica Smith and Alexia Cooper,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,
Date of version: 11/16/11,,,,
,,,,
"Figure 46. Homicide victimization rates for cities with a population of 100,000  or more, 1980-2008",,,,
,"Rate per 100,000 population",,,
Year,One million +,"500,000-999,000","250,000-499,000","100,000-249,000"
1980,30.9,21.3,22.1,13
1981,28.2,22.2,22,14.3
1982,26.5,19.4,19.1,12.8
1983,27,17.2,16.3,10.7
1984,25.5,18.5,16.1,11.7
1985,24.8,17.9,17.2,11.4
1986,24.1,18.4,19.8,12.7
1987,22.9,20.1,16.3,11.7
1988,28.2,20.3,17.7,12.7
1989,28.8,23.8,18.3,13.2
1990,31.9,24.6,21.7,14.1
1991,35.5,24.2,22.4,14.9
1992,31.1,22.9,20.1,13.2
1993,29.9,22.5,25.1,14.6
1994,26.3,19.8,24,15
1995,22.3,21.1,24.3,13.2
1996,21.6,15.7,21.1,11.9
1997,19.4,18.1,19.1,12
1998,16.2,17.9,16.6,11.2
1999,15.5,16.6,15.3,9.5
2000,14.8,15,14.1,9.6
2001,15.1,14.7,15.2,9.7
2002,14.2,14.2,15.6,9.2
2003,14.4,14.1,15.6,9.8
2004,13.2,14.1,15,9.2
2005,13,14.9,15.1,10
2006,14,14.9,15.7,9.4
2007,12.6,14.7,13.6,10.5
2008,11.9,13.7,13,8.8
