Bureau of Justice Statistics,,,,,,,,,
Filename: htus8008f47.csv,,,,,,,,,
Report title: Homicide Trends in United States,,,,,,,,,
Data source: Supplementary Homicide Report,,,,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,
Date of version: 11/16/11,,,,,,,,,
,,,,,,,,,
"Figure 47. Homicide offending rates for cities with a population of 100,000 or more, 1980-2008",,,,,,,,, 
,"Rate per 100,000 population",,,,,,,,
Year,One million +,"500,000-999,000","250,000-499,000","100,000-249,000",,,,,
1980,35.8,25.4,25.1,15.7,,,,,
1981,36.3,22.5,23.2,16,,,,,
1982,37.1,19.7,20.2,13.8,,,,,
1983,32.6,17,18.1,12,,,,,
1984,30.7,19.8,18.2,12.7,,,,,
1985,30.3,18.9,19.5,12.1,,,,,
1986,28.6,18.7,21.3,14.2,,,,,
1987,28.1,20.9,17.4,12.7,,,,,
1988,36.1,18.9,19.7,14.8,,,,,
1989,37.4,20.9,20.5,14.5,,,,,
1990,40.6,22.8,24.1,16.6,,,,,
1991,45.2,26.6,23.2,18.2,,,,,
1992,35.6,23.1,22.6,16.5,,,,,
1993,33.8,24.2,26.6,17.1,,,,,
1994,28.4,21.2,27,18.4,,,,,
1995,25.8,23.5,25.7,15,,,,,
1996,25,19.4,20.8,15.1,,,,,
1997,21.1,20.7,20.3,13.7,,,,,
1998,18,19.8,16.8,13.2,,,,,
1999,17.5,15.9,17,10.5,,,,,
2000,16.9,17.3,14.3,12.1,,,,,
2001,17.4,19.1,13.5,12,,,,,
2002,16.3,15.7,15.3,10.5,,,,,
2003,14.2,15.7,15.3,11.5,,,,,
2004,14.2,14.5,15.3,11.1,,,,,
2005,13.2,18.8,15.3,13.8,,,,,
2006,16.6,18,15.3,12.3,,,,,
2007,12.7,20.9,13.8,13.4,,,,,
2008,12.4,17.8,13.8,12.4,,,,,
,,,,,,,,, 
