Bureau of Justice Statistics,,,,,,,,
Filename: htus8008f48.csv,,,,,,,,
Report title: Homicide Trends in United States,,,,,,,,
Data source: Supplementary Homicide Report,,,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 11/16/11,,,,,,,,
,,,,,,,,
"Figure 48. Percent of all homicides involving intimates by urban, suburban, and rural areas, 1980-2008",,,,,,,,
,,,,,,,,
,,,,,, ,,
Year,Large cities,Small cities,Suburban areas,Rural areas,,,,
1980,15.8,20.9,21.3,19.9,,,,
1981,14.6,22.1,20.9,19.6,,,,
1982,14.2,18.5,20.4,20.2,,,,
1983,15.5,19.3,21.6,22.2,,,,
1984,15,20,18.7,19.8,,,,
1985,14.3,20.9,20.7,22.4,,,,
1986,14.3,19.9,21.2,21.3,,,,
1987,13.4,20.6,20,20,,,,
1988,13.7,19.2,21.5,21.8,,,,
1989,11.9,19.2,21,20.7,,,,
1990,11.6,18.1,18.6,21.3,,,,
1991,11,18.3,18.8,20.2,,,,
1992,10.8,17,18.3,23.2,,,,
1993,11,16.2,19.3,23,,,,
1994,10.8,17.4,19,21.1,,,,
1995,10.3,16.9,18.5,19.8,,,,
1996,10.6,15.2,19,23.8,,,,
1997,10.8,17.1,18.6,21.1,,,,
1998,12.8,17.3,21.1,23.5,,,,
1999,12.6,18.6,21.6,23.5,,,,
2000,14,18,21.9,26.8,,,,
2001,13.1,19.7,20.8,22.8,,,,
2002,12.6,18,20.5,21.9,,,,
2003,12.8,17.1,21.7,15.8,,,,
2004,12.4,18.2,20.6,24.1,,,,
2005,12.5,18.7,20.2,22.2,,,,
2006,11.8,17,19.1,23.6,,,,
2007,13,18,21.2,21.1,,,,
2008,13.1,18.7,19.1,25.2,,,,
"Note: Large cities have a population of 100,000 or more, while small cities have a population of less than 100,000. ",,,,,,,,
Percent of homicides by an intimate are based on the 63.1% of homicides from 1980 through 2008 for which the victim/offender relationships were known.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Percent of all homicides involving intimates by urban, suburban, and rural areas, 1980-2008",,,,,,,,
,,,,,,,,
,Large city, ,Small city, ,Suburban, ,Rural,
Year,Intimate,Nonintimate,Intimate,Nonintimate,Intimate,Nonintimate,Intimate,Nonintimate
1980,15.8,84.2,20.9,79.1,21.3,78.7,19.9,80.1
1981,14.6,85.4,22.1,77.9,20.9,79.1,19.6,80.4
1982,14.2,85.8,18.5,81.5,20.4,79.6,20.2,79.8
1983,15.5,84.5,19.3,80.7,21.6,78.4,22.2,77.8
1984,15,85,20,80,18.7,81.3,19.8,80.2
1985,14.3,85.7,20.9,79.1,20.7,79.3,22.4,77.6
1986,14.3,85.7,19.9,80.1,21.2,78.8,21.3,78.7
1987,13.4,86.6,20.6,79.4,20,80,20,80
1988,13.7,86.3,19.2,80.8,21.5,78.5,21.8,78.2
1989,11.9,88.1,19.2,80.8,21,79,20.7,79.3
1990,11.6,88.4,18.1,81.9,18.6,81.4,21.3,78.7
1991,11,89,18.3,81.7,18.8,81.2,20.2,79.8
1992,10.8,89.2,17,83,18.3,81.7,23.2,76.8
1993,11,89,16.2,83.8,19.3,80.7,23,77
1994,10.8,89.2,17.4,82.6,19,81,21.1,78.9
1995,10.3,89.7,16.9,83.1,18.5,81.5,19.8,80.2
1996,10.6,89.4,15.2,84.8,19,81,23.8,76.2
1997,10.8,89.2,17.1,82.9,18.6,81.4,21.1,78.9
1998,12.8,87.2,17.3,82.7,21.1,78.9,23.5,76.5
1999,12.6,87.4,18.6,81.4,21.6,78.4,23.5,76.5
2000,14,86,18,82,21.9,78.1,26.8,73.2
2001,13.1,86.9,19.7,80.3,20.8,79.2,22.8,77.2
2002,12.6,87.4,18,82,20.5,79.5,21.9,78.1
2003,12.8,87.2,17.1,82.9,21.7,78.3,15.8,84.2
2004,12.4,87.6,18.2,81.8,20.6,79.4,24.1,75.9
2005,12.5,87.5,18.7,81.3,20.2,79.8,22.2,77.8
2006,11.8,88.2,17,83,19.1,80.9,23.6,76.4
2007,13,87,18,82,21.2,78.8,21.1,78.9
2008,13.1,86.9,18.7,81.3,19.1,80.9,25.2,74.8
"Note: Large cities have a population of 100,000 or more, while small cities have a population of less than 100,000. ",,,,,,,,
Percent of homicides by an intimate are based on the 63.1% of homicides from 1980 through 2008 for which the victim/offender relationships were known.,,,,,,,,
