Bureau of Justice Statistics,,
Filename: htus8008f51.csv,,
Report title: Homicide Trends in United States,,
Data source: Supplementary Homicide Report,,
Authors: Erica Smith and Alexia Cooper,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,
Date of version: 11/16/11,,
,,
"Figure 51. Number of justifiable homicides by police and citizens, 1980-2008",,
,,
Year,By citizens,By police
1980,467,459
1981,495,383
1982,423,380
1983,334,419
1984,265,333
1985,265,321
1986,289,303
1987,246,300
1988,233,342
1989,273,363
1990,328,385
1991,331,367
1992,351,418
1993,357,455
1994,353,462
1995,268,389
1996,261,356
1997,277,369
1998,196,367
1999,192,308
2000,164,309
2001,221,378
2002,233,341
2003,245,371
2004,219,368
2005,196,350
2006,241,379
2007,257,398
2008,251,376
,,
Note: Justifiable homicides are defined as the killing of a felon by a law enforcement officer in the line of duty or the killing of a felon during the commission of a felony by a private citizen. Numbers are based on only justifiable homicides reported to the FBI's Supplementary Homicide Reports Program from 1980 through 2008.,,
