Bureau of Justice Statistics,,,,,
Filename: htus8008f52b.csv,,,,,
Report title: Homicide Trends in United States,,,,,
Data source: Supplementary Homicide Report,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,
Date of version: 11/16/11,,,,,
,,,,,
"Figure 52b. Number of justifiable homicides by citizens, by circumstance, 1980-2008",,,,,
,,,,,
Number of justifiable homicides by citizens,,,,,
,,,,,
Year of offense,Attacked police,Attacked citizen,Fled or resisted,Disrupted crime,Undetermined
1980,1,108,17,329,12
1981,6,153,20,300,16
1982,13,87,5,305,13
1983,3,86,6,208,31
1984,9,44,7,178,27
1985,1,52,6,175,31
1986,3,82,5,182,17
1987,7,70,5,152,12
1988,2,54,5,151,21
1989,4,77,4,173,15
1990,5,94,5,206,18
1991,6,78,1,217,29
1992,11,112,5,203,20
1993,2,86,6,232,31
1994,9,100,3,211,30
1995,5,82,4,153,24
1996,6,74,1,159,21
1997,3,66,3,168,37
1998,5,61,4,106,20
1999,6,66,4,92,24
2000,7,46,4,88,19
2001,6,66,2,116,31
2002,5,84,4,115,25
2003,3,68,4,145,25
2004,6,95,3,91,24
2005,4,92,2,78,20
2006,7,90,3,121,20
2007,10,94,2,138,13
2008,1,103,1,138,8
Note: Justifiable homicides are defined as the killing of a felon by a law enforcement officer in the line of duty or the killing of a felon during the commission of a felony by a private citizen. Numbers are based on only justifiable homicides reported to the FBI’s Supplementary Homicide Reports Program from 1980 through 2008,,,,,
