Bureau of Justice Statistics,,,,,,,,,,
Filename: htus8008t02.csv,,,,,,,,,,
Report title: Homicide Trends in United States,,,,,,,,,,
Data source: Supplementary Homicide Report,,,,,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 11/16/11,,,,,,,,,,
,,,,,,,,,,
"Table 2. Homicide Type by Age, 1980-2008",,,,,,,,,,
,,Victims,,,,,Offenders,,,
,,Under 18,18-34,35-49,50+,,Under 18,18-34,35-49,50+
,All homicides,10.00%,53.20%,22.80%,14.00%,,11.00%,65.50%,17.10%,6.50%
Victim/offender relationship,,,,,,,,,,
,Intimate,1.30%,48.50%,33.60%,16.60%,,1.00%,47.00%,34.70%,17.20%
,Family,19.30%,32.80%,26.00%,21.90%,,6.10%,50.50%,27.50%,15.90%
,Infanticide,100.00%,,,,,7.40%,81.20%,10.20%,1.10%
,Eldercide,,,,100.00%,,9.40%,47.80%,20.70%,22.10%
Circumstances,,,,,,,,,,
,Felony murder,7.50%,48.20%,22.20%,22.10%,,14.60%,72.70%,10.70%,2.00%
,Sex related,18.40%,45.30%,18.20%,18.10%,,9.70%,73.10%,15.20%,1.90%
,Drug related,5.40%,70.90%,20.20%,3.60%,,10.80%,76.40%,11.50%,1.30%
,Gang related,23.70%,68.80%,6.20%,1.30%,,28.00%,70.20%,1.60%,0.20%
,Argument,5.70%,56.20%,26.30%,11.80%,,7.00%,60.70%,23.00%,9.20%
,Workplace,0.50%,26.70%,33.50%,39.30%,,2.80%,53.60%,28.00%,15.60%
Weapon,,,,,,,,,,
,Gun homicide,8.10%,59.70%,22.00%,10.30%,,12.20%,65.90%,15.10%,6.90%
,Arson,27.90%,26.40%,20.40%,25.20%,,10.60%,57.00%,24.90%,7.50%
,Poison,28.60%,20.80%,16.80%,33.80%,,3.50%,48.80%,29.80%,17.80%
Multiple victims or offenders,,,,,,,,,,
,Multiple victims,17.90%,47.00%,19.30%,15.80%,,9.50%,66.30%,18.30%,5.90%
,Multiple offenders,10.40%,58.40%,19.20%,12.00%,,17.90%,73.10%,7.70%,1.30%
Note: Detail may not sum to total due to rounding. The percentages of victim/offender relationships are based on the 63.1% of homicides from 1980 through 2008 for which the victim/offender relationships were known. The percentages of homicides involving multiple victims or offenders were known for 69.1% of incidents.,,,,,,,,,,
