Bureau of Justice Statistics,,,,,
Filename: htus8008t03.csv,,,,,
Report title: Homicide Trends in United States,,,,,
Data source: Supplementary Homicide Report,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,
Date of version: 11/16/11,,,,,
,,,,,
"Of those children killed by someone other than their parent, 80% were killed by males.",,,,,
,,,,,
"Table 3. Offender relationship to child victim under age 5, 1980-2008",,,,,
,,,,,
Sex of offender,All relationships,Parent,Other family,Friend/Acquaintance,Stranger
All offenders,100%,63%,6%,28%,3%
Male,63%,33%,4%,23%,3%
Female,37%,30%,3%,5%,0%
Note: Detail may not sum to total due to rounding. Percentages are based on the 63.1% of homicides from 1980 through 2008 for which the victim/offender relationships were known. ,,,,,
