Bureau of Justice Statistics,,,,,,,
Filename: htus8008t05,,,,,,,
Report title: Homicide Trends in United States,,,,,,,
Data source: Supplementary Homicide Report,,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,
Date of version: 11/16/11,,,,,,,
,,,,,,,
Table 5. Homicide Type by Sex 1980-2008,,,,,,,
,,Victims,,,Offenders,,
,,Male,Female,,Male,Female,
,All homicides,76.80%,23.20%,,89.50%,10.50%,
Victim/offender relationship,,,,,,,
,Intimate,36.30%,63.70%,,70.32%,29.68%,
,Family,54.70%,45.30%,,74.42%,25.58%,
,Infanticide,54.70%,45.30%,,62.50%,37.50%,
,Eldercide,57.20%,42.80%,,84.80%,15.20%,
Circumstances,,,,,,,
,Felony murder,79.20%,20.80%,,93.20%,6.80%,
,Sex related,18.30%,81.70%,,93.70%,6.30%,
,Drug related,90.50%,9.50%,,95.50%,4.50%,
,Gang related,94.60%,5.40%,,98.30%,1.70%,
,Argument,77.20%,22.80%,,86.60%,13.40%,
,Workplace,79.10%,20.90%,,91.30%,8.70%,
Weapon,,,,,,,
,Gun homicide,82.60%,17.40%,,92.10%,7.90%,
,Arson,54.70%,45.30%,,78.80%,21.20%,
,Poison,56.10%,43.90%,,60.50%,39.50%,
Multiple victims or offenders,,,,,,,
,Multiple victims,64.40%,35.60%,,93.60%,6.40%,
,Multiple offenders,88.00%,12.00%,,91.60%,8.40%,
Note: Detail may not sum to total due to rounding. The percentages of victim/offender relationships are based on the 63.1% of homicides from 1980 through 2008 for which the victim/offender relationships were known. The percentages of homicides involving multiple victims or offenders were known for 69.1% of incidents.,,,,,,,
,,,,,,,
