Bureau of Justice Statistics,,,,,
Filename: htus8008t06.csv,,,,,
Report title: Homicide Trends in United States,,,,,
Data source: Supplementary Homicide Report,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,
Date of version: 11/16/11,,,,,
,,,,,
"Table 6. Victim/offender relationship by victim sex, 1980-2008",,,,,
,,,,,
,,,,,
Victim/offender relationship,,Male,,Female,
,Total,100,%,100,%
Intimate,,7.1,%,41.5,%
,Spouse,4,,24.1,
,Ex-spouse,0.2,,1.9,
,Boyfriend/girlfriend,3,,15.5,
Other family,,10.9,%,16.7,%
,Parent,2,,4.1,
,Child,3.6,,7.5,
,Sibling,1.8,,1.2,
,Other family,3.5,,3.9,
Acquaintance/known,,56.4,%,29.9,%
,Neighbor,1.6,,1.7,
,Employee/er,0.2,,0.2,
,Friend/acquaintance,46.2,,22.8,
,Other Known,8.3,,5.2,
Stranger,,25.5,%,11.9,%
Note: Detail may not sum to total due to rounding. The percentages of victim/offender relationships are based on the 63.1% of homicides from 1980 through 2008 for which the victim/offender relationships were known. The percentages of homicides involving multiple victims or offenders were known for 69.1% of incidents.,,,,,
