Bureau of Justice Statistics,,,,,,,,
Filename: htus8008t07.csv,,,,,,,,
Report title: Homicide Trends in United States,,,,,,,,
Data source: Supplementary Homicide Report,,,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 11/16/11,,,,,,,,
,,,,,,,,
"Table 7. Homicide type by race, 1980-2008",,,,,,,,
,,,,,,,,
,,Victims,,,,Offenders,,
,,White,Black,Other,,White,Black,Other
,All homicides,50.30%,47.40%,2.30%,,45.30%,52.50%,2.20%
Victim/offender relationship,,,,,,,,
,Intimate,55.00%,42.70%,2.40%,,54.20%,43.50%,2.30%
,Family,59.20%,38.20%,2.60%,,59.20%,38.30%,2.50%
,Infants,56.20%,41.00%,2.80%,,55.80%,41.60%,2.60%
,Elders,69.60%,28.60%,1.80%,,56.30%,41.90%,1.80%
Circumstances,,,,,,,,
,Felony murder,53.10%,44.10%,2.80%,,38.40%,59.90%,1.70%
,Sex related,66.80%,30.40%,2.80%,,54.40%,43.40%,2.20%
,Drug related,36.90%,62.10%,1.00%,,33.20%,65.60%,1.20%
,Gang related,56.50%,40.00%,3.50%,,53.30%,42.20%,4.60%
,Argument,49.50%,48.10%,2.40%,,47.50%,50.20%,2.40%
,Workplace,83.90%,12.50%,3.60%,,70.80%,25.80%,3.30%
Weapon,,,,,,,,
,Gun homicide,46.50%,51.40%,2.00%,,41.20%,56.90%,1.90%
,Arson,57.90%,38.80%,3.30%,,55.60%,41.70%,2.70%
,Poison,80.50%,16.80%,2.80%,,80.60%,16.80%,2.60%
Multiple victims or offenders,,,,,,,,
,Multiple victims,61.70%,34.70%,3.60%,,53.90%,42.40%,3.60%
,Multiple offenders,51.50%,45.70%,2.80%,,43.20%,54.30%,2.50%
Note: Detail may not sum to total due to rounding. The percentages of victim/offender relationships are based on the 63.1% of homicides from 1980 through 2008 for which the victim/offender relationships were known. The percentages of homicides involving multiple victims or offenders were known for 69.1% of incidents.,,,,,,,,
