Bureau of Justice Statistics,,,,
Filename: htus8008t08.csv,,,,
Report title: Homicide Trends in United States,,,,
Data source: Supplementary Homicide Report,,,,
Authors: Erica Smith and Alexia Cooper,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,
Date of version: 11/16/11,,,,
,,,,
"Table 8. Victim/offender relationship, 1980-2008",,,,
,,,,
,,,Percent of homicides,
,,,with known victim/,
,,,offender relationship,
,Total,,100, % 
Stranger,,,21.9, % 
Nonstranger,,,,
,Spouse,,10, % 
,Other family,,12.4,
,Boyfriend/girlfriend,,6.3,
,Other acquaintance,,49.4,
,,,,
Note: Percentages are based on the 63.1% of homicides from 1980 though 2008 for which the victim/offender relationship was known.,,,,
