Bureau of Justice Statistics,,,
Filename: htus8008t09.csv,,,
Report title: Homicide Trends in United States,,,
Data source: Supplementary Homicide Report,,,
Authors: Erica Smith and Alexia Cooper,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 11/16/11,,,
,,,
"Table 9. Intimate homicides, 1980-2008",,,
,,,
,,,Percent of all 
,,,"homicides,"
,,,1980-2008
,,,
Total,,,100%
,Intimate,,16.30%
,Non-intimate,,83.70%
Note: Percentages are based on the 63.1% of homicides from 1980 through 2008 for which victim/offender relationships were known. ,,,
"For additional details, see section on victim/offender relationship.",,,
See the methodology section in 'Additional Information About the Data' for weighting and imputation procedures used.,,,
"Source: FBI, Supplementary Homicide Reports, 1980-2008",,,
