Bureau of Justice Statistics,,,,,,,,
Filename: htus8008t10.csv,,,,,,,,
Report title: Homicide Trends in United States,,,,,,,,
Data source: Supplementary Homicide Report,,,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 11/16/11,,,,,,,,
,,,,,,,,
,,,,,,,,
"Table 10. Age of intimate and nonintimate homicide victims, by sex, 1980-2008",,,,,,,,
,Male victims killed by —,,,,Female victims killed by —,,,
,Intimate,,Non-intimate,,Intimate,,Non-intimate,
 12-17,0.5,%,99.5,%,17.5,%,82.5,%
18-24,2.8,,97.2,,42.9,,57.1,
25-29,6.3,,93.7,,52.4,,47.6,
30-34,8.9,,91.1,,57.1,,42.9,
35-39,11,,89,,57.8,,42.2,
40-44,12.2,,87.8,,55.6,,44.4,
45-49,13.4,,86.6,,52.3,,47.7,
50-59,13.3,,86.7,,42.1,,57.9,
60+,9.5,,90.5,,29.4,,70.6,
Note: Percentages are based on the 63.1% of homicides between 1980 and 2008 for which the victim-offender relationships were known.,,,,,,,,
"Source: FBI, Supplementary Homicide Reports, 1980-2008",,,,,,,,
See the methodology section in 'Additional Information About the Data' for weighting and imputation procedures used.,,,,,,,,
