Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: htus8008t11.csv,,,,,,,,,,,,,
Report title: Homicide Trends in United States,,,,,,,,,,,,,
Data source: Supplementary Homicide Report,,,,,,,,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,
Date of version: 11/16/11,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 11. Homicides by intimate relationship and  type of weapon, 1980-2008",,,,,,,,,,,,,
,,,,,,,,,,,,,
Relationship of,Total,,Gun,,Knife,,Blunt object,,Force,,Other weapon,,Unknown weapon
victim to offender,,,,,,,,,,,,,
Husband,100,%,66.1,,27.6,,2.1,,1,,1.3,,1.8
Ex-husband,100,%,83.6,,10.9,,1.6,,0.4,,1.3,,2.2
Wife,100,%,66.7,,14.5,,4.7,,10.3,,1.1,,2.7
Ex-wife,100,%,75,,13.2,,2.7,,6.4,,0.7,,2.1
Boyfriend,100,%,44.8,,49.7,,1.2,,1.3,,0.9,,2.1
Girlfriend,100,%,54.5,,20.4,,5,,15.2,,1.1,,3.8
Same-sex relationship,100,%,30.8,,41.1,,10.3,,14.1,,1.4,,2.4
Note: Percentages are based on the 63.1% of homicides from 1980 through 2008 for which the victim/offender relationships were known. See section on intimate partner violence.,,,,,,,,,,,,,
"*Includes hands, fists, or feet.",,,,,,,,,,,,,
"Source: FBI, Supplementary Homicide Reports, 1980-2008",,,,,,,,,,,,,
See the methodology section in 'Additional Information About the Data' for weighting and imputation procedures used.,,,,,,,,,,,,,
