Bureau of Justice Statistics,,,,,,
Filename: htus8008t13.csv,,,,,,
Report title: Homicide Trends in United States,,,,,,
Data source: Supplementary Homicide Report,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,
Date of version: 11/16/11,,,,,,
,,,,,,
"Table 13. Characteristics of homicide, by city size, 1980-2008",,,,,,
,,,,,,
,,Percent of all homicides,,,,
,,Large city,Small city,Suburban,Rural,
,All homicides,57.7,13.6,21.3,7.5,
Victim/offender relationship,,,,,,
,Intimate,46.7,16,27.1,10.2,
,Family,44.8,14.9,28.5,11.8,
,Infanticide,47.3,18.5,26.2,8,
,Eldercide,45.8,17,25.4,11.8,
Circumstance,,,,,,
,Felony murder,60.8,12.6,20.8,5.8,
,Sex related,48.4,14.9,27.3,9.4,
,Drug related,67.4,10.8,18.1,3.7,
,Gang related,69.6,13.3,16.6,0.5,
,Argument,53.5,15.5,21.6,9.4,
,Workplace,30.8,16.3,38.3,14.6,
Weapon,,,,,,
,Gun homicide,59.6,12.4,20.3,7.7,
,Arson,53,16.1,22.7,8.2,
,Poison,38,18.3,31,12.7,
Multiple victims or offenders,,,,,,
,Multiple victims,47.6,14.1,27.2,11.1,
,Multiple offenders,65.5,10.8,18,5.7,
Note: Detail may not sum to total due to rounding. Percentages of victim/offender relationships are based on the 63.1% of homicides for which victim/offender relationships were known. The percentages of homicides involving multiple victims or offenders were known for 69.1% of incidents.,,,,,,
