Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: htus8008t14.csv,,,,,,,,,,,,,,,,
Report title: Homicide Trends in United States,,,,,,,,,,,,,,,,
Data source: Supplementary Homicide Report,,,,,,,,,,,,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,
Date of version: 11/16/11,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Table 14. Percent of justifiable homicides,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Race of citizen who killed felon     ,,,,,,,,Race of officer who killed felon    ,,,,,,,
Race of felon,Total,,White,,Black,,Other,,Total,,White,,Black,,Other,
White,41,%,37,%,3,%,1,%,60,%,56,%,3,%,1,
Black,57,,17,,39,,2,,38,,27,,11,,--,
Other,2,,1,,--,,1,,3,,2,,--,,--,
Total,100,,55,,42,,3,,100,,86,,13,,1,%
Note: Detail may not sum to total due to rounding.,,,,,,,,,,,,,,,,
-- Less than 0.5%.,,,,,,,,,,,,,,,,
"*Other race includes American Indians, Alaska Natives, Asians, Hawaiians, and other Pacific Islanders.",,,,,,,,,,,,,,,,
"Source: FBI, Supplementary Homicide Reports, 1980-2008",,,,,,,,,,,,,,,,
See the methodology section in 'Additional Information About the Data' for weighting and imputation procedures used.,,,,,,,,,,,,,,,,
